ID,UserID,RunningName,Version,Mode,Date,SpatialSearchID,SpatialSearchClientStartTime,SpatialSearchClientEndTime,SpatialSearchSummaryStartTime,SpatialSearchSummaryEndTime,SpatialSearchBonusPayment
1,69bfa90568c64f3e06f1a32e,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,1,08:06:12 | 14-04-2026,08:12:48 | 14-04-2026,08:05:14,08:12:39,609
2,6978e94c86ef2c792e089759,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,2,14:06:39 | 14-04-2026,14:13:09 | 14-04-2026,14:05:09,14:13:07,605
4,69cd61739075c642ba70f385,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,4,09:10:33 | 14-04-2026,09:17:45 | 14-04-2026,09:09:33,09:17:37,2323
5,559bbbdafdf99b7ce19d5b3d,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,7,14:11:38 | 14-04-2026,14:18:45 | 14-04-2026,14:10:51,14:18:39,583
8,5cefd727978d3c0019e84591,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,10,14:13:27 | 14-04-2026,14:19:34 | 14-04-2026,14:12:49,14:19:29,2159
10,5ed005980fdb830a7bfeaf4b,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,11,14:17:23 | 14-04-2026,14:24:07 | 14-04-2026,14:16:32,14:24:02,628
11,5d8fd459c82de6001a193829,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,12,14:29:23 | 14-04-2026,14:36:13 | 14-04-2026,14:28:12,14:36:04,550
13,641357b26802e397b5627d5e,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,14,08:58:38 | 14-04-2026,09:05:37 | 14-04-2026,08:58:01,09:05:33,628
14,5e7b804f9379140478c688da,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,15,15:32:46 | 14-04-2026,15:39:07 | 14-04-2026,15:31:40,15:39:01,2826
15,66919a02a5d3fddda5c003c4,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,16,15:32:48 | 14-04-2026,15:39:49 | 14-04-2026,15:31:52,15:39:45,2800
16,5b9ec956c8a17f000171f7ad,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,18,10:35:08 | 14-04-2026,10:42:11 | 14-04-2026,10:33:38,10:42:08,1952
18,64e36d981d00e7d7c45addc2,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,20,07:38:25 | 14-04-2026,07:44:41 | 14-04-2026,07:37:47,07:44:39,668
23,69938d80f7b1e79687b2b2aa,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,27,07:56:52 | 14-04-2026,08:05:01 | 14-04-2026,07:54:07,08:04:35,1565
25,6748b5c2eb65f80fc92caa93,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,28,16:00:37 | 14-04-2026,16:07:40 | 14-04-2026,15:58:27,16:07:32,1809
26,6978c9de12be2c3293c32576,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,14-04-2026,31,16:10:00 | 14-04-2026,16:18:36 | 14-04-2026,16:08:51,16:18:32,2195
39,6658bbefeacd7bcadeef885f,Wikipedia_Exp_14.04,Wikipedia_Exp_13.04,Real,15-04-2026,32,12:27:52 | 15-04-2026,12:34:44 | 15-04-2026,12:27:13,12:34:37,2465
