participant_id,domain,switch_rate
2,art_history,0.0
2,ecology,0.0
9,psychology,1.0
9,ecology,1.0
12,ecology,1.0
12,economics,0.25
13,economics,0.0
13,art_history,0.5
15,psychology,0.25
15,art_history,0.0
17,economics,0.0
17,ecology,0.4
19,psychology,0.4
19,art_history,0.0
20,ecology,0.5789473684210527
20,psychology,0.4
21,economics,0.8333333333333334
21,art_history,1.0
25,economics,0.0
25,psychology,
26,art_history,0.6666666666666666
26,psychology,0.5
28,psychology,0.4444444444444444
28,art_history,0.0
29,psychology,1.0
29,ecology,0.8
35,ecology,0.75
35,economics,0.0
37,art_history,0.29411764705882354
37,psychology,0.7142857142857143
44,economics,0.5
44,ecology,0.6363636363636364
46,ecology,0.0
46,psychology,0.0
49,psychology,0.5
49,economics,
50,art_history,0.0
50,ecology,0.75
51,psychology,0.4
51,ecology,0.5
