participant_id,condition,PC1,PC2,PC3
2,high-creativity,-0.4828378663734172,0.2521057664555959,0.44921808411071024
9,high-creativity,0.5538758522040041,-0.07859091839355245,0.24400022830094165
12,high-creativity,0.1822655825017318,0.09248805625533346,0.1680871735284561
13,high-creativity,-0.17553477533619424,0.13284133047311852,-0.006574691774066221
15,high-creativity,-0.25451062872787,-0.3494668823187034,-0.3364198864557768
17,high-creativity,-0.194175058227896,0.0733271727220133,-0.268000209200896
19,high-creativity,-0.22877088505140217,0.1580142117559466,0.014365524803395133
20,high-creativity,0.08103280259852316,-0.1469981412086479,-0.09749459035782052
21,high-creativity,0.49913153377555014,-0.25275229152556355,0.02069478691399071
25,high-creativity,-0.4178191024316146,0.08528479903667952,-0.08035091532647104
26,high-creativity,0.15478055615467184,0.44852967144168765,-0.006455235912071283
28,high-creativity,-0.15145327083867757,0.0963525857152332,-0.44453555470812445
29,high-creativity,0.48280160283668166,0.1724178314552355,-0.04443184095665734
35,high-creativity,-0.037094153108182204,-0.35021556316865643,-0.04394421976519767
37,high-creativity,0.0940032538175671,0.01808834900595513,-0.10543787376903813
44,high-creativity,0.13463536441871993,-0.3743673993228848,0.15373221165168155
46,high-creativity,-0.4761679658733615,-0.10133607967722585,0.44335516422875665
49,high-creativity,0.10611269080699126,0.0980873732720432,-0.25609825010649695
50,high-creativity,-0.03898480931211398,-0.03145790460595055,-0.07377676117118637
51,high-creativity,0.012856070353977678,0.14933411878670289,0.10184227324938519
