pid,trial,domain,n_pages,switches_time,switches_topic,switches_typing,topic_sequence,time_sequence,typing_sequence,titles
102,1,art_history,11,3,9,2,"0,8,0,-1,0,8,0,0,8,9,8",XXEXXXXXXEE,-TT--------,Contemporary art | Ancient art | Contemporary art | Balinese art | Contemporary art | Ancient art | Contemporary art | Modern art | Ancient art | Contemporary Art Society | Ancient art
102,2,psychology,4,0,3,3,"1,6,3,-1",EEEE,-T-T,Palatability | Discovery (observation) | Neuroscience | Development of the nervous system
170,1,psychology,8,4,5,4,"3,3,3,6,1,5,-1,5",XEXEEEEX,-T-T----,Human brain | Cerebral cortex | Neuroscience | Discovery (observation) | Sense | Arez (wrestler) | Hologram (wrestler) | Arez (wrestler)
170,2,art_history,9,8,3,3,"8,7,0,5,5,5,5,5,5",EXEXEXEXE,T-T------,Ancient art | Contemporary history | Contemporary (disambiguation) | Arez (wrestler) | Don Callis Family | Rocky Romero | Hechicero | The Outrunners | Rocky Romero
18,1,art_history,1,0,0,0,9,E,T,Metropolitan Museum of Art
18,2,psychology,10,2,8,2,"6,3,6,6,1,3,6,3,6,3",EXXXXXXXEE,T-------TT,Role of chance in scientific discoveries | Neuroscience | Role of chance in scientific discoveries | Timeline of scientific discoveries | Brain | Neuroscience | Brain Rules | Neuroscience | Role of chance in scientific discoveries | Prefrontal cortex
140,1,psychology,7,4,2,3,"6,6,6,3,6,6,6",EXXXEXE,----T-T,Role of chance in scientific discoveries | Quantum mind | Role of chance in scientific discoveries | Human brain | Role of chance in scientific discoveries | Philosophy of mind | Role of chance in scientific discoveries
140,2,art_history,2,1,1,1,"9,8",XE,-T,Metropolitan Museum of Art | Thai art
164,1,psychology,7,3,2,2,"6,3,6,6,6,6,6",XEEXXXE,----T--,Role of chance in scientific discoveries | Lateralization of brain function | Role of chance in scientific discoveries | Frank Rosenblatt | Serendipity | Frank Rosenblatt | Role of chance in scientific discoveries
164,2,art_history,18,6,15,0,"0,9,0,8,8,4,8,8,0,8,0,9,8,9,8,-1,8,0",XEXXEXXXXXXEEXXXXX,------------------,Contemporary art | Contemporary Art Society | Contemporary art | Ancient art | Kausia | Homosexuality in ancient Rome | Kausia | Ancient art | Renaissance art | Ancient art | Contemporary art | Contemporary Art Society | Ancient art | Contemporary Art Society | Ancient art | Pre-Romanesque art and architecture | Ancient art | Renaissance art
1,1,art_history,25,3,4,5,"8,8,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9",XXXXXXXEEXXXXXXXXXXXXXXXE,--------T---------T-----T,Ancient art | History of art | Contemporary art | Conceptual art | Contemporary art | Ancient art | History of art | Ancient art | Contemporary art | Classical Realism | Neoclassicism | Classical Realism | Contemporary art | Classical Realism | Neoclassicism | Classical Realism | Contemporary art | Classical Realism | Neoclassicism | Classical Realism | Contemporary art | Classical Realism | Contemporary art | Classical Realism | Richard T. Scott
1,2,psychology,12,6,7,6,"1,2,6,2,6,6,6,2,1,2,2,2",XXXEXXXEXEXX,--TT---T-T--,Brain | Curiosity | Science | Curiosity | Mechanism | Mechanism (biology) | Mechanism | Curiosity | Nucleus accumbens | Curiosity | Attention | Curiosity
72,1,art_history,16,4,11,3,"8,8,0,8,0,8,0,8,8,9,8,8,-1,8,8,0",XXXXXXXXXXXXEXEX,------------T--T,Ancient art | History of art | Impressionism | History of art | Renaissance art | History of art | Postmodern art | Ancient art | Art of ancient Egypt | Contemporary art in Egypt | Art of ancient Egypt | Roman art | Artistic symbol | Roman art | Prehistoric art | Realism (art movement)
72,2,psychology,11,3,6,1,"3,3,2,3,2,3,3,3,3,2,3",XXEXXXXXXEE,----------T,Human brain | Executive functions | Learning | Executive functions | Planning | Executive functions | Cognitive neuropsychology | Executive functions | Human brain | Cognition | Human brain
128,1,psychology,3,2,0,2,"6,6,6",XEX,-T-,Quantum mind | Role of chance in scientific discoveries | Quantum mind
128,2,art_history,2,0,1,0,"4,0",EE,TT,Sexuality in ancient Rome | History of the nude in art
