participant_id,condition,count_time,count_topic,count_typing,PC1,PC2,PC3
1,diffuse,4.5,5.5,5.5,3.3011912175832245,2.6137881388128905,1.459818680089373
2,diffuse,3.0,4.0,2.0,0.382250085643002,0.3684946934205251,-0.3258016637535184
4,clumpy,4.0,8.5,2.0,4.709676201418259,-1.098695914435677,-0.9346817280722766
5,diffuse,3.0,3.5,2.0,-0.057035795243356446,0.6072898075996374,-0.327994446934891
8,clumpy,3.5,10.5,4.5,7.0229672079104715,-1.0100514679614636,1.3326574352183704
10,diffuse,4.0,4.5,1.0,0.8981595235890723,0.2577419537697938,-1.7299281831590978
11,diffuse,1.0,1.5,1.0,-2.859115325123163,-0.3553836204229547,0.14276045660600134
13,diffuse,1.5,2.5,1.5,-1.645002154082274,-0.2150296162895623,0.22169056131111098
14,clumpy,2.0,3.5,2.0,-0.4308889830413847,-0.07467561215616991,0.3006206660162205
15,clumpy,3.0,7.0,2.0,3.0179653709611554,-1.0642759916541475,-0.3126449646652829
16,clumpy,3.5,5.5,3.0,2.184263952939408,0.5470151059885184,0.1441733189508838
18,diffuse,2.0,8.0,2.0,3.522683944935845,-2.2238316397681785,0.3203557146485738
25,clumpy,0.0,1.0,0.5,-3.820869209176707,-1.0755154486133627,0.3803306915578201
39,clumpy,2.5,5.0,3.0,1.371124884255022,0.10384480041182331,0.7705956487206229
40,clumpy,0.5,0.0,1.5,-4.215284746312095,0.29698053485019127,0.8393417583553595
41,clumpy,2.5,3.5,1.5,-0.3925772045115288,-0.010654424891979541,-0.4025389852772554
43,diffuse,2.0,3.0,3.0,-0.5729452331894276,0.7180425472503684,1.0761320724706882
44,diffuse,2.5,2.5,1.5,-1.2711489662842466,0.46693580346624475,-0.40692455164000063
48,diffuse,3.5,2.5,0.5,-1.1945254092245352,0.5949781779946257,-1.8132438542269522
50,clumpy,4.0,3.5,2.0,0.3168173925546709,1.2892552273554438,-0.9566095598860023
53,diffuse,5.0,5.0,3.0,2.30575785375009,1.808758349801341,-0.800942133657156
54,diffuse,2.5,3.5,2.5,-0.09534757377321323,0.5432686203354467,0.3751652043585849
56,clumpy,4.0,8.0,3.0,4.567619951270216,-0.3059777550291387,-0.15917032161780886
57,clumpy,1.5,2.0,0.5,-2.381517665706949,-0.5301575473378763,-0.558206411506102
59,clumpy,3.0,4.5,5.0,1.7132248587443089,1.7914687149236916,2.009503688335375
60,diffuse,5.0,9.0,4.0,6.117274531579278,0.4523204815958701,-0.005695678570334817
61,diffuse,1.0,3.5,2.0,-0.804742170839412,-0.756641031911977,0.929235778967332
62,diffuse,2.0,3.5,1.0,-0.7281186137797002,-0.6285986573835961,-0.4770835236196198
63,diffuse,2.5,6.5,1.0,2.0945232654374664,-1.7203866325803654,-0.7782343810069401
71,clumpy,2.0,4.0,2.0,0.00839689784497466,-0.31347072633528206,0.3028134491975931
72,clumpy,3.5,8.5,2.0,4.522749607519246,-1.4396786243135804,-0.6203741715967208
73,clumpy,0.0,1.0,1.0,-3.6722543938075494,-0.7985539259996497,0.7691827863757403
74,diffuse,3.0,5.0,3.0,1.5580514781540353,0.444827510289727,0.45628809224506717
75,clumpy,2.5,0.5,1.0,-3.17690730519884,1.1451547375689801,-0.804547779183411
80,diffuse,1.5,3.5,3.0,-0.32058594620208236,0.13826472319335292,1.3926324121276166
82,clumpy,3.0,1.0,1.0,-2.5506948304134673,1.2473423332677716,-1.1166625524775942
85,diffuse,2.0,2.0,1.0,-2.045976256438777,0.08778668515374022,-0.48366187316373743
88,clumpy,3.0,5.0,4.0,1.8552811088923518,0.9987505555171532,1.2339922818809075
89,clumpy,3.0,4.0,2.0,0.382250085643002,0.3684946934205251,-0.3258016637535184
90,clumpy,3.0,1.0,0.0,-2.8479244611517833,0.6934192880403454,-1.8943667421134345
92,diffuse,1.0,1.0,1.0,-3.298401206009522,-0.11658850624384254,0.14056767342462884
94,diffuse,2.5,2.5,1.5,-1.2711489662842466,0.46693580346624475,-0.40692455164000063
95,diffuse,0.5,3.5,1.5,-1.1402835801075835,-1.3745852644035934,0.8546912406249676
96,diffuse,4.0,5.5,3.0,2.371190546838422,0.8879978158664219,-0.17013423752467194
97,diffuse,3.5,5.5,3.5,2.332878768308566,0.8239766286022314,0.533025413768804
100,diffuse,1.5,1.0,1.0,-3.1114746121105084,0.22439420363406093,-0.1737398830509269
102,diffuse,3.0,9.0,2.0,4.77510889450659,-2.0194564483705957,-0.30387383193979245
103,diffuse,1.0,1.0,1.0,-3.298401206009522,-0.11658850624384254,0.14056767342462884
104,diffuse,4.5,4.5,4.0,1.9767750097030339,2.260493799329976,0.2888768292728674
105,clumpy,3.0,4.5,2.0,0.8215359665293613,0.12969957924141307,-0.32360888057214576
106,clumpy,2.5,4.0,2.5,0.3439383071131461,0.3044735061563346,0.37735798753995753
107,clumpy,2.0,5.0,1.0,0.589739028879376,-1.3449839999209325,-0.47050517407550196
108,clumpy,2.0,0.0,1.0,-3.8031197799842125,1.0429671418701887,-0.4924330058892279
109,diffuse,0.0,2.0,0.5,-2.9422974474039894,-1.553105676971587,0.3847162579205653
110,clumpy,1.0,4.0,0.0,-0.9599155514296847,-2.103282236545941,-0.623979817122976
111,clumpy,3.0,4.0,2.0,0.382250085643002,0.3684946934205251,-0.3258016637535184
113,diffuse,1.0,2.5,1.5,-1.8319287479812876,-0.5560123261674659,0.5359981177866667
114,diffuse,3.0,5.0,2.0,1.2608218474157198,-0.10909553493769919,-0.32141609739077315
118,clumpy,1.5,1.5,1.0,-2.6721887312241495,-0.014400910545051104,-0.1715470998695544
120,clumpy,1.0,5.0,2.0,0.5131154718196651,-1.4730263744493133,0.9358141285114498
121,clumpy,1.5,5.0,3.0,0.9972716964569948,-0.5781206193439836,1.3992107616717344
122,diffuse,4.0,5.5,2.0,2.0739609161001065,0.3340747706389957,-0.9478384271605123
123,diffuse,1.0,2.0,1.0,-2.4198294442368042,-0.5941787346020668,0.14495323978737396
124,diffuse,1.0,2.0,1.0,-2.4198294442368042,-0.5941787346020668,0.14495323978737396
126,diffuse,3.0,4.0,2.5,0.5308649010121593,0.6454562160342381,0.06305043106440178
128,diffuse,2.0,0.0,2.0,-3.5058901492458965,1.596890187097615,0.2852711837466124
129,clumpy,3.0,4.0,2.0,0.382250085643002,0.3684946934205251,-0.3258016637535184
130,clumpy,2.0,2.0,0.0,-2.343205887177093,-0.466136360073686,-1.2613660627995777
131,diffuse,1.0,2.0,1.5,-2.2712146288676465,-0.31721721198835373,0.5338053346052941
132,clumpy,3.0,4.0,2.0,0.382250085643002,0.3684946934205251,-0.3258016637535184
133,diffuse,1.5,2.5,1.0,-1.7936169694514317,-0.4919911389032754,-0.16716153350680918
135,diffuse,4.0,5.0,4.0,2.229134296690378,1.6807159752729601,0.6053771689297958
136,clumpy,1.5,4.0,1.5,-0.3271445114231968,-0.9314149588268986,0.2282689108552287
137,diffuse,1.0,1.0,1.5,-3.1497863906403643,0.16037301636987045,0.529419768242549
138,clumpy,1.0,2.0,1.5,-2.2712146288676465,-0.31721721198835373,0.5338053346052941
139,clumpy,2.0,2.0,2.0,-1.748746625700461,0.6417097303811665,0.2940423164721029
140,diffuse,4.0,2.0,3.0,-0.7038106193660907,2.559563615120206,-0.1854837197942798
141,clumpy,2.5,4.5,3.0,0.9318390033686628,0.34263991459093535,0.7684028655392503
142,clumpy,2.0,4.0,2.0,0.00839689784497466,-0.31347072633528206,0.3028134491975931
143,clumpy,2.5,7.0,2.0,2.831038777062142,-1.4052587015320512,0.0016625918102728399
144,diffuse,2.0,1.0,1.0,-2.9245480182114947,0.5653769135119644,-0.48804743952648266
145,diffuse,3.5,5.5,1.5,1.7384195068319341,-0.28386946185262085,-1.0223829655028767
146,clumpy,1.5,4.5,1.0,-0.03647344590599655,-1.4471715956197237,-0.15839040078131883
147,diffuse,3.5,7.0,3.0,3.502121595598486,-0.1693702365488179,0.15075166849500166
149,diffuse,2.5,4.0,3.0,0.4925531224823043,0.5814350287700476,0.7662100823578777
150,clumpy,0.5,2.0,1.0,-2.606756038135818,-0.9351614444799703,0.4592607962629297
151,diffuse,1.0,5.0,1.0,0.21588584108134867,-2.0269494196767397,0.15810993887560953
154,diffuse,1.0,2.5,1.0,-1.9805435633504453,-0.832973848781179,0.14714602296874657
155,clumpy,2.0,3.0,2.0,-0.8701748639277431,0.16411950202294223,0.2984278828348479
156,diffuse,2.5,3.5,3.0,0.05326724159594498,0.8202301429491596,0.7640172991765051
157,diffuse,1.0,2.0,2.0,-2.1225998134984883,-0.040255689374640635,0.9226574294232143
160,diffuse,5.0,6.0,4.0,3.4815592462611233,1.885091166670543,-0.018852377658570507
161,clumpy,3.5,4.0,2.0,0.5691766795420161,0.7094774032984286,-0.6401092202290739
162,diffuse,1.5,5.5,1.5,0.9907131312358795,-1.647800301364235,0.23484726039934645
164,clumpy,4.5,8.5,1.0,4.5993731645789575,-1.3116362497851997,-2.0266934741836726
165,clumpy,2.0,2.0,0.0,-2.343205887177093,-0.466136360073686,-1.2613660627995777
166,diffuse,1.5,5.5,1.5,0.9907131312358795,-1.647800301364235,0.23484726039934645
168,clumpy,1.5,3.0,1.0,-1.3543310885650728,-0.7307862530823874,-0.16496875032543667
169,clumpy,4.5,4.5,3.5,1.8281601943338757,1.9835322767162629,-0.09997526554505276
170,clumpy,6.0,4.0,3.5,1.9496540951445578,3.245275520529085,-1.0450907181530922
171,clumpy,1.0,3.0,1.5,-1.3926428670949287,-0.794807440346578,0.5381909009680392
