participant_id,condition,typed_chars,pasted_chars,typed_share,n_typing_bursts,typing_duration_s,n_paste_events,prop_pages_with_writing,writing_gini,first_writing_page,first_writing_time_s,final_answer_length,seq_time_mean_run_explore,seq_time_mean_run_exploit,seq_time_max_run,seq_time_entropy,seq_time_lag1_autocorr,seq_topic_mean_run_explore,seq_topic_mean_run_exploit,seq_topic_max_run,seq_topic_entropy,seq_topic_lag1_autocorr,seq_typing_mean_run_explore,seq_typing_mean_run_exploit,seq_typing_max_run,seq_typing_entropy,seq_typing_lag1_autocorr
1,diffuse,587.0,446.5,0.5681549570136171,5.0,119.4065,2.5,0.30666666666666664,0.794523962489152,6.0,129.031,970.0,6.625,1.25,9.0,0.6703194948732486,,2.25,3.4583333333333335,9.5,0.8070891556458595,,4.666666666666666,1.1666666666666665,6.0,0.723828349670927,
2,diffuse,2.0,578.0,0.0034482758620689655,0.0,0.0,2.0,0.14285714285714285,0.8571428571428571,4.0,149.423,580.0,2.5,1.0,3.0,0.863120568566631,,2.0,1.5,3.0,0.9852281360342515,,3.0,1.0,3.0,0.5916727785823275,
4,clumpy,0.0,864.5,0.0,0.0,0.0,1.0,0.06787330316742082,0.9321266968325792,7.0,257.7625,863.5,4.166666666666667,1.25,6.5,0.6509546059145128,,2.625,1.6333333333333333,5.0,0.917608826425117,,7.0,1.0,9.0,0.3570002612633269,
5,diffuse,609.0,93.5,0.8180933852140078,2.5,39.431999999999995,0.5,0.5892857142857143,0.5445919730939186,1.0,29.7715,699.5,1.25,1.4166666666666665,2.0,0.8982531302466922,,2.5,1.25,3.0,0.8982531302466922,,3.0,1.5,3.0,0.9315602842833155,
8,clumpy,411.5,0.0,1.0,3.5,46.62049999999999,0.0,0.30952380952380953,0.7828655107490494,2.5,63.259,398.0,3.9166666666666665,1.5,7.0,0.7194722376105982,,4.875,1.25,7.0,0.7273966735744791,,3.833333333333333,1.0,6.5,0.7194722376105982,
10,diffuse,335.5,186.5,0.755249343832021,0.0,0.0,0.5,0.3125,0.7582020997375328,2.0,31.088499999999996,522.0,1.8333333333333335,1.5,2.0,0.9772170014624826,,4.5,2.0,5.5,0.6774212838293646,,5.75,1.0,7.0,0.2717822215997982,
11,diffuse,420.5,182.0,0.7573333333333334,6.0,152.49000000000007,1.0,0.3666666666666667,0.6612454212454213,2.5,84.57249999999999,481.0,2.0,2.0,2.5,0.9446232142545791,,1.5,2.0,2.0,0.9446232142545791,,2.5,1.5,2.5,0.9446232142545791,
13,diffuse,533.0,336.5,0.6031607927172954,4.5,34.246999999999915,1.0,0.2857142857142857,0.7553958269081473,5.5,158.269,858.0,4.0,1.5,5.0,0.7273966735744792,,2.5,2.25,3.5,0.9241743523004413,,3.75,2.0,4.5,0.863120568566631,
14,clumpy,271.5,1579.5,0.15443686006825938,3.0,45.020000000000024,2.5,0.2159090909090909,0.7888483814251732,5.0,156.4615,1363.5,3.75,1.0,4.0,0.7476582800490872,,2.5,2.25,4.0,0.8784692145298865,,3.75,1.0,4.0,0.7476582800490872,
15,clumpy,800.5,36.5,0.9520997375328084,5.5,70.33850000000001,0.5,0.2409090909090909,0.8403887088874655,3.5,75.4965,795.5,6.0,1.1666666666666665,6.0,0.7052237906880909,,5.0,1.3333333333333335,5.0,0.8579791531821594,,6.75,1.25,7.5,0.660393943076103,
16,clumpy,473.5,155.5,0.7752890173410405,4.5,85.05100000000002,1.0,0.35,0.7350267570824567,3.5,79.8365,619.0,2.083333333333333,1.25,2.5,0.8609640474436812,,5.5,1.5,6.0,0.6936457138218854,,2.6666666666666665,1.5,3.5,0.8201119644709259,
18,diffuse,3.0,1304.0,0.0022953328232593728,1.0,11.069000000000017,8.0,0.3,0.7506503442999235,1.0,21.473,1298.0,7.0,1.5,7.0,0.8812908992306927,,4.0,1.0,6.0,0.7219280948873623,,7.0,1.5,7.0,0.8812908992306927,
25,clumpy,171.0,525.0,0.24415565513011112,3.0,48.102500000000006,3.0,0.875,0.29713916641542,1.5,252.9905,632.5,,3.5,3.5,0.0,,2.0,2.0,2.5,0.5,,1.0,3.0,3.0,0.4056390622295664,
39,clumpy,53.0,1822.5,0.02733754769633806,3.0,26.66000000000004,4.0,0.3611111111111111,0.7362570793072245,2.5,202.6165,1861.0,3.25,2.0,3.5,0.9955380299191111,,2.5,1.75,4.0,0.9011770921486775,,2.166666666666667,2.5,4.0,0.8821022532543101,
40,clumpy,297.5,301.0,0.43001434377241216,4.5,95.91650000000004,3.0,0.6333333333333333,0.6351821858315404,2.0,119.21100000000001,481.5,5.0,3.0,5.0,0.32501121082417705,,,5.5,5.5,0.0,,2.0,3.0,3.0,0.9854752972273343,
41,clumpy,749.0,50.5,0.9335526315789473,3.5,37.80000000000002,0.5,0.625,0.592930702799908,1.5,39.288000000000004,799.5,1.5,1.25,2.5,0.8647869792568113,,3.5,1.5,3.5,0.825011210824177,,2.25,1.5,3.0,0.825011210824177,
43,diffuse,587.5,402.0,0.6260404203298132,6.5,120.31,2.0,0.5142857142857142,0.5879299784732079,1.0,59.004999999999995,797.5,2.5,1.75,3.0,0.8535781154608069,,2.0,2.0,2.5,0.97808936524446,,1.75,1.25,3.0,0.9170355815106498,
44,diffuse,301.5,1293.5,0.1936026936026936,4.5,60.68100000000005,4.0,0.6309523809523809,0.6279639715123586,2.0,67.8075,1579.0,1.0,3.6666666666666665,4.0,0.49261406801712576,,1.0,1.1666666666666665,1.5,0.9517619850443706,,3.0,2.25,4.0,0.7565714951074926,
48,diffuse,315.0,0.0,1.0,2.0,44.106999999999985,0.0,0.4583333333333333,0.7044573643410853,1.5,100.03399999999999,315.0,1.25,1.0,1.5,1.0,,5.0,2.5,4.5,0.32501121082417705,,3.5,3.0,4.5,0.4056390622295664,
50,clumpy,26.0,540.0,0.04582094950543316,3.0,33.16300000000001,2.5,0.4464285714285714,0.6154669798286819,3.0,207.28050000000002,391.0,1.0,1.25,1.5,0.8982531302466922,,2.25,1.0,2.5,0.9315602842833155,,2.0,1.25,3.0,0.7014754515207302,
53,diffuse,148.0,1083.5,0.18998716302952504,3.0,72.56600000000003,2.0,0.30000000000000004,0.7470175387777129,4.5,151.7175,890.0,1.3333333333333335,1.125,1.5,0.9854752972273343,,3.0,1.1666666666666665,4.0,0.8464393446710154,,2.75,1.0,3.5,0.8464393446710154,
54,diffuse,360.5,387.5,0.4827631419513404,4.0,61.21049999999998,2.0,0.41666666666666663,0.6260759849267165,2.0,44.033,691.0,2.0,1.5,2.5,0.9182958340544896,,2.75,1.25,3.0,0.9591479170272448,,2.5,1.25,2.5,0.9591479170272448,
56,clumpy,25.5,1266.0,0.018956263251234375,1.5,11.140499999999975,4.0,0.2111111111111111,0.8154146946582501,6.5,163.3425,1275.5,2.5,1.4166666666666665,3.5,0.9446232142545791,,8.0,1.0,8.0,0.6166000500489508,,3.75,1.0,5.5,0.7430663006979913,
57,clumpy,425.5,0.0,1.0,1.0,21.596000000000004,0.0,0.575,0.541469088989819,2.5,117.762,425.5,2.0,1.75,2.5,0.8911143594569007,,2.0,1.5,3.0,0.7666031096732475,,3.5,2.0,3.5,0.5,
59,clumpy,525.5,932.5,0.3782555658671463,5.5,121.48949999999999,3.5,0.2264957264957265,0.8484272820650199,5.0,58.363,1411.0,6.75,1.0,10.5,0.5444466332212052,,1.5,2.8666666666666667,4.5,0.8488228356732872,,4.375,1.0,8.0,0.7146861294702197,
