measure,n_d,n_c,d_mean,d_sd,c_mean,c_sd,t,df,p_welch,mw_p,cohen_d,abs_d
final_answer_length,52,49,791.3942307692307,370.37697193347805,1208.4795918367347,1033.417918039372,-2.668311058723137,59.502593546180755,0.009808387368052502,0.1840371927227541,-0.5437074523770353,0.5437074523770353
seq_typing_entropy,52,49,0.7822401784789942,0.16133789963615283,0.6691058695718177,0.26653511196062923,2.561730794863096,78.10466968445515,0.01233991644272842,0.03453607523467497,0.5171751782048898,0.5171751782048898
pasted_chars,52,49,569.2596153846154,706.4574386690465,981.3571428571429,1223.4639859840584,-2.05673801274397,75.85262971162142,0.043150284945890675,0.23698679746140328,-0.41567627431495896,0.41567627431495896
seq_typing_max_run,52,49,4.0,1.8603183366632416,4.8979591836734695,2.4685091482443378,-2.055136191303415,89.1051454247809,0.0427935296697739,0.05407287999947839,-0.4125651094062963,0.4125651094062963
seq_time_mean_run_explore,51,47,2.4583333333333335,1.5321780067748147,3.0851063829787235,2.0338685267462124,-1.7119325149667013,85.24629517160268,0.09054499631940642,0.1497089211491957,-0.35011302069326394,0.35011302069326394
seq_topic_mean_run_exploit,52,49,1.6592948717948717,0.7594944673835732,1.9627551020408163,1.0912731240931863,-1.612951913074625,85.12610724103723,0.11045628993606568,0.2915234076901858,-0.32449595033681927,0.32449595033681927
seq_typing_mean_run_explore,52,47,3.2580128205128203,1.8453453496642305,3.924645390070922,2.3457491602313048,-1.5602045481845364,87.23496017793745,0.12233222994701431,0.16461368267578258,-0.3178094212379128,0.3178094212379128
first_writing_time_s,52,49,114.20728846153845,89.73839189606436,144.68525510204083,102.1655339713306,-1.5890302806283008,95.60438973553833,0.1153552612209271,0.11888816007262235,-0.31759507729142017,0.31759507729142017
n_paste_events,52,49,1.5865384615384615,1.644125471829676,2.13265306122449,2.0786000652584704,-1.458726150842988,91.3856845234602,0.14806907246480502,0.18426329252715545,-0.29243920174628113,0.29243920174628113
seq_topic_max_run,52,49,3.644230769230769,1.5728596987576062,4.112244897959184,1.6622816464452839,-1.4514861176591853,97.7042814824969,0.14984795345412105,0.12168324193058956,-0.28946339502034996,0.28946339502034996
first_writing_page,52,49,2.9423076923076925,1.962026378852287,3.5714285714285716,2.70801280154532,-1.3301823445056014,87.1595760855937,0.186928381384404,0.2791136910553065,-0.2673202821059277,0.2673202821059277
seq_time_mean_run_exploit,52,49,1.9286858974358976,0.8477646074756161,1.7329931972789114,0.6748584367665422,1.2871228737231366,96.35758355411801,0.20113475637033143,0.29035239440508076,0.2545420028614402,0.2545420028614402
typing_duration_s,52,49,55.468519230769225,43.98938489411244,45.53462244897959,34.62119231673875,1.2649301251981837,96.00827864090469,0.20895808872392305,0.3641675513978646,0.2500722522495018,0.2500722522495018
seq_time_max_run,52,49,3.6153846153846154,1.6850419923067506,4.061224489795919,2.3443919188966156,-1.091741786487945,86.75780030770044,0.2779691749544061,0.500622841721004,-0.21944948178006357,0.21944948178006357
seq_topic_entropy,52,49,0.8310365913124288,0.17355920391898189,0.7891710655657791,0.22792873046043244,1.033946986529237,89.60520966866034,0.3039434365593172,0.46704720958412815,0.2075033576050798,0.2075033576050798
typed_chars,52,49,357.0673076923077,310.1927457219007,313.59183673469386,295.76010255831693,0.7210387817229243,98.98483614817161,0.4725852068714828,0.5011136958695666,0.14335051369123036,0.14335051369123036
seq_topic_mean_run_explore,51,47,2.7426470588235294,1.288617526933013,2.9370567375886525,1.4874645375046938,-0.6889151352628916,91.40765965323969,0.49262162685796423,0.6218208492807262,-0.1401192192164002,0.1401192192164002
typed_share,52,49,0.54090272445268,0.4069373050389954,0.48395670503381777,0.42695346983709304,0.6853129001352001,97.86016381494555,0.49476666332136926,0.4585353080991307,0.13663912268532796,0.13663912268532796
writing_gini,52,49,0.6933393497365293,0.11091030040830739,0.7108872863115439,0.15827790752238563,-0.6416921620468756,85.4727646754162,0.5227902586826557,0.16772894429723384,-0.12907326118272736,0.12907326118272736
n_typing_bursts,52,49,3.048076923076923,2.1540195335301773,2.86734693877551,1.5869766532495628,0.48194700001506136,93.65846786652881,0.6309679146990823,0.980937476695996,0.09510407319064644,0.09510407319064644
prop_pages_with_writing,52,49,0.3975818544200897,0.17958660804709814,0.3867358575219351,0.22456648755504788,0.2670582121066486,91.87976105337393,0.7900228452191753,0.44855391604090167,0.05352196057722751,0.05352196057722751
seq_typing_mean_run_exploit,52,47,1.5560897435897434,0.6085182264117601,1.5372340425531914,0.6634452309483315,0.14685310651144934,93.69160776830587,0.8835635027067921,0.6316648002849454,0.029686606126788587,0.029686606126788587
seq_time_entropy,52,49,0.7987783130917981,0.21253207454908415,0.8008094249896048,0.2338630399314467,-0.04559046529497615,96.67509681625965,0.9637307104528975,0.7699523340524658,-0.009102852180673814,0.009102852180673814
