measure,n,n_d,n_c,raw_d_mean,raw_c_mean,raw_diff,raw_t,raw_p,raw_cohen_d,adj_diff,adj_t,adj_p,adj_cohen_d,covariate_t,covariate_p,adj_pred_d,adj_pred_c,attenuation_pct,survival
seq_typing_max_run,101,52,49,4.0,4.8979591836734695,-0.8979591836734695,-2.055136191303415,0.0427935296697739,-0.4125651094062963,-1.1251888680782571,-2.538529596781351,0.012706495021817421,-0.5241001434256163,-1.9368956711291527,0.05563796220718076,3.889759856080846,5.014948724159103,-27.034528969215298,SURVIVED
seq_typing_entropy,101,52,49,0.7822401784789943,0.6691058695718178,0.11313430890717646,2.561730794863095,0.012339916442728447,0.5171751782048897,0.1451045723492965,3.318736488425176,0.001270272790017346,0.6851802207785228,2.7626269654676756,0.0068482962572500305,0.7977505043073492,0.6526459319580526,-32.485132630838365,SURVIVED
seq_typing_mean_run_explore,99,52,47,3.2580128205128203,3.924645390070922,-0.6666325695581019,-1.5602045481845364,0.12233222994701431,-0.3178094212379128,-0.9026769350091151,-2.103836140480078,0.03800652067071253,-0.43818733863659387,-2.137634686514245,0.03508642943065077,3.1459513540865798,4.048628289095695,-37.87739108859392,SURVIVED
seq_typing_mean_run_exploit,99,52,47,1.5560897435897434,1.5372340425531914,0.018855701036551986,0.14685310651144934,0.8835635027067921,0.029686606126788587,0.07979672493237158,0.603687480139633,0.5474752676815997,0.12669467478738028,1.6268700535221303,0.10704279157480778,1.5850213407928089,1.505224615860437,-326.7738597207095,KILLED
pasted_chars,101,52,49,569.2596153846154,981.3571428571429,-412.09752747252753,-2.05673801274397,0.043150284945890675,-0.41567627431495896,71.9387170158657,0.7946898544454468,0.4287142830721973,0.16407020316872614,20.202132815435164,0.0,804.0890805324497,732.1503635165839,60.52933176445627,KILLED
n_paste_events,101,52,49,1.5865384615384615,2.13265306122449,-0.5461145996860284,-1.458726150842988,0.14806907246480502,-0.29243920174628113,-0.009622889979122091,-0.029248941984540915,0.9767255302005156,-0.0060386826722768246,6.161011434500982,1.6029658711502748e-08,1.846816617732901,1.856439507712023,97.93506389149702,KILLED
seq_time_mean_run_explore,98,51,47,2.4583333333333335,3.0851063829787235,-0.62677304964539,-1.7119325149667013,0.09054499631940642,-0.35011302069326394,-0.6832055327172838,-1.8033004089603852,0.07451112527551662,-0.3801952758414648,-0.525879509497295,0.6001973818438855,2.431268775125384,3.1144743078426678,-8.592155495569553,PARTIAL
seq_topic_mean_run_exploit,101,52,49,1.6592948717948717,1.9627551020408163,-0.3034602302459446,-1.612951913074625,0.11045628993606568,-0.32449595033681927,-0.39228968551536236,-2.0530927642999814,0.04272809117930021,-0.42387774938690054,-1.7564793194327246,0.08213032029707423,1.616199393495846,2.008489079011208,-30.626514428585395,SURVIVED
first_writing_time_s,101,52,49,114.20728846153845,144.68525510204083,-30.477966640502373,-1.5890302806283008,0.1153552612209271,-0.31759507729142017,-43.86774482187613,-2.279236720024876,0.02482199752819869,-0.4705670138258615,-2.628462987212593,0.009958083740560841,107.71125746265407,151.57900228453022,-48.16571397738534,SURVIVED
prop_pages_with_writing,101,52,49,0.3975818544200897,0.3867358575219351,0.010845996898154575,0.2670582121066486,0.7900228452191753,0.05352196057722751,0.024365316831312583,0.5838377648125862,0.5606708858274227,0.12053806922855549,1.2239377356955874,0.22391014962266964,0.40414073240746323,0.37977541557615063,-125.21235756046268,KILLED
