# Q1-Q2 correlations
measure,r_q1q2,p_q1q2,n_q1q2,r_ahps,p_ahps,n_ahps,delta_r_pos_minus_dom
seq_typing_entropy,-0.0746599850007338,0.536051864848796,71,-0.08941614124095332,0.4583614829571872,71,0.014756156240219517
seq_typing_mean_run_explore,-0.006850687261058261,0.9564631285169121,66,-5.390957156322252e-05,0.9996572325907261,66,-0.006796777689495039
seq_typing_max_run,0.04222442103687253,0.7266163701168764,71,0.036709780136007515,0.7611780981702747,71,0.005514640900865016
first_writing_time_s,0.26102040127428855,0.02790460172214989,71,0.27701032654438684,0.019352705372874285,71,-0.015989925270098293
final_answer_length,0.6935524006081155,2.024569717999573e-11,71,0.6321246408047958,3.373194393924355e-09,71,0.061427759803319715

# Order effect (paired t)
n_paired,mean_q1,mean_q2,sd_q1,sd_q2,mean_diff_q2_minus_q1,t_paired,p_paired,cohen_dz,measure
71,0.7153809783554052,0.7860999563145263,0.2748062479589144,0.2551730041055984,0.07071897795912127,-1.532954609183185,0.12979444757922634,0.18192824130223306,seq_typing_entropy
66,3.688131313131313,3.9747474747474754,2.000764309409737,3.95068342289021,0.2866161616161615,-0.524357344744235,0.6018136763679892,0.06454392737053187,seq_typing_mean_run_explore
71,4.605633802816901,4.549295774647887,2.326732062906112,3.981344828049817,-0.056338028169014086,0.10489128080735059,0.9167620551876718,-0.012448304816662465,seq_typing_max_run
71,132.47435211267603,114.21385915492957,102.94165754211024,108.20554086371202,-18.26049295774647,1.198187951605238,0.2348849522307192,-0.14219874840339608,first_writing_time_s
71,926.0140845070423,1156.1267605633802,736.1948983592737,1025.8869602109119,230.11267605633802,-2.6221080911127945,0.010714393520444804,0.3111869788334362,final_answer_length

# Bootstrap Cohen's d
measure,stratum,d,lo95,hi95,boot_p_directional,n_d,n_c
seq_typing_entropy,pos1,0.2785189564942699,-0.13249714119532982,0.7337344755356411,0.1956,46,44
seq_typing_entropy,pos2,0.33880065748366944,-0.08475489586427243,0.7704238457291065,0.1176,42,40
seq_typing_entropy,pooled,0.5171751782048898,0.15161596064460633,0.8770354904500335,0.0092,52,49
seq_typing_mean_run_explore,pos1,-0.3257540898183326,-0.7715486942885591,0.09537955615335564,0.1352,43,42
seq_typing_mean_run_explore,pos2,-0.22301380758356174,-0.6683659170528934,0.21401226320113811,0.3104,42,38
seq_typing_mean_run_explore,pooled,-0.3178094212379128,-0.7210175894807925,0.07587606336549862,0.1128,52,47
seq_typing_max_run,pos1,-0.41630544712181333,-0.8382194478823801,-0.010954477004022562,0.0448,46,44
seq_typing_max_run,pos2,-0.29955100997537665,-0.7136065532829083,0.13318762951601573,0.1576,42,40
seq_typing_max_run,pooled,-0.4125651094062963,-0.8061860995136731,-0.018288093640594614,0.0396,52,49
first_writing_time_s,pos1,-0.12103285869179298,-0.5469123254217707,0.2975681463550909,0.5688,46,44
first_writing_time_s,pos2,-0.45862016174991105,-0.8920436516618288,-0.05015628522634465,0.0284,42,40
first_writing_time_s,pooled,-0.31759507729142017,-0.7200593090114176,0.0785770798806093,0.1112,52,49
final_answer_length,pos1,-0.3854270868238929,-0.7289368619327454,0.0037224510321501006,0.0528,46,44
final_answer_length,pos2,-0.6222183361849167,-0.9542732643846956,-0.25826854662150306,0.0024,42,40
final_answer_length,pooled,-0.5437074523770353,-0.857209560140752,-0.20736175781838093,0.0028,52,49
