participant_id,condition,seq_typing_mean_run_explore,switch_rate_typing,switch_rate_topic,switch_rate_time,n_switches_typing,n_switches_topic,n_switches_time
1,diffuse,4.666666666666666,0.3768939393939394,0.5340909090909092,0.3352272727272727,5.5,7.5,4.5
2,diffuse,3.0,0.3333333333333333,1.0,0.5,2.0,6.0,3.0
4,clumpy,7.0,0.14583333333333331,0.15625,0.29166666666666663,2.0,2.5,4.0
5,diffuse,3.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,2.0,3.0,3.0
8,clumpy,3.833333333333333,0.5166666666666667,0.275,0.35,4.5,5.5,3.5
10,diffuse,5.75,0.14285714285714285,0.0,0.5714285714285714,1.0,0.0,4.0
11,diffuse,2.5,0.375,0.5,0.375,1.0,1.5,1.0
13,diffuse,3.75,0.25,0.0,0.25,1.5,0.0,1.5
14,clumpy,3.75,0.31666666666666665,0.5,0.31666666666666665,2.0,1.5,2.0
15,clumpy,6.75,0.21666666666666667,0.2777777777777778,0.3277777777777778,2.0,2.5,3.0
16,clumpy,2.6666666666666665,0.5111111111111111,0.2222222222222222,0.5222222222222221,3.0,2.0,3.5
18,diffuse,7.0,0.2222222222222222,0.7777777777777778,0.2222222222222222,2.0,7.0,2.0
25,clumpy,1.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0
39,clumpy,2.166666666666667,0.39285714285714285,0.39285714285714285,0.33035714285714285,3.0,3.0,2.5
40,clumpy,2.0,0.35,1.0,0.1,1.5,4.5,0.5
41,clumpy,2.25,0.3666666666666667,0.5,0.6333333333333333,1.5,2.5,2.5
43,diffuse,1.75,0.625,0.6666666666666666,0.41666666666666663,3.0,3.0,2.0
44,diffuse,3.0,0.2833333333333333,0.4,0.4166666666666667,1.5,2.0,2.5
48,diffuse,3.5,0.16666666666666666,0.16666666666666666,0.9,0.5,0.5,3.5
50,clumpy,2.0,0.5,0.5,0.8333333333333333,2.0,1.5,4.0
53,diffuse,2.75,0.5416666666666666,0.16666666666666666,0.8333333333333333,3.0,1.5,5.0
54,diffuse,2.5,0.5,0.3,0.5,2.5,1.5,2.5
56,clumpy,3.75,0.35416666666666663,0.5625,0.4652777777777778,3.0,5.0,4.0
57,clumpy,3.5,0.16666666666666666,0.5,0.4583333333333333,0.5,1.5,1.5
59,clumpy,4.375,0.3431372549019608,0.4387254901960784,0.22549019607843135,5.0,6.0,3.0
60,diffuse,3.0,0.4,0.0,0.5,4.0,0.0,5.0
61,diffuse,1.75,0.425,0.4,0.2,2.0,2.0,1.0
62,diffuse,4.0,0.19642857142857142,0.35714285714285715,0.39285714285714285,1.0,2.5,2.0
63,diffuse,8.5,0.19607843137254902,0.4117647058823529,0.28431372549019607,1.0,7.0,2.5
71,clumpy,3.0,0.5,0.0,0.5,2.0,0.0,2.0
72,clumpy,8.5,0.15000000000000002,0.36666666666666664,0.2833333333333333,2.0,4.0,3.5
73,clumpy,1.0,0.5,0.0,0.0,1.0,0.0,0.0
74,diffuse,2.0833333333333335,0.45238095238095233,0.0,0.45238095238095233,3.0,0.0,3.0
75,clumpy,3.5,0.35,0.0,0.8,1.0,0.0,2.5
80,diffuse,1.6666666666666665,0.65,0.3,0.325,3.0,1.5,1.5
82,clumpy,9.0,0.1111111111111111,0.7777777777777778,0.3333333333333333,1.0,7.0,3.0
85,diffuse,4.0,0.25,0.0,0.5,1.0,0.0,2.0
88,clumpy,2.0,0.5,0.0,0.375,4.0,0.0,3.0
89,clumpy,4.0,0.25,0.75,0.375,2.0,6.0,3.0
90,clumpy,4.0,0.0,0.3333333333333333,1.0,0.0,1.0,3.0
92,diffuse,3.0,0.2,0.0,0.2,1.0,0.0,1.0
94,diffuse,2.25,0.45,0.2,0.8,1.5,1.0,2.5
95,diffuse,2.0,0.375,0.125,0.125,1.5,0.5,0.5
96,diffuse,1.5,0.47619047619047616,0.5238095238095238,0.6071428571428572,3.0,3.5,4.0
97,diffuse,3.3333333333333335,0.475,0.125,0.55,3.5,1.0,3.5
100,diffuse,2.0,0.3333333333333333,0.41666666666666663,0.5833333333333333,1.0,1.0,1.5
102,diffuse,4.5,0.2,0.0,0.3,2.0,0.0,3.0
103,diffuse,2.0,0.5,0.0,0.5,1.0,0.0,1.0
104,diffuse,2.5,0.4722222222222222,0.2222222222222222,0.5277777777777778,4.0,2.0,4.5
105,clumpy,3.25,0.3833333333333333,0.5666666666666667,0.55,2.0,3.0,3.0
106,clumpy,2.75,0.5,0.3333333333333333,0.5,2.5,1.5,2.5
107,clumpy,5.0,0.2,0.0,0.4,1.0,0.0,2.0
108,clumpy,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,2.0
109,diffuse,1.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0
110,clumpy,5.0,0.0,0.5,0.25,0.0,2.0,1.0
111,clumpy,6.75,0.2375,0.125,0.35,2.0,1.0,3.0
113,diffuse,2.75,0.39285714285714285,0.0,0.14285714285714285,1.5,0.0,1.0
114,diffuse,3.0,0.2857142857142857,0.0,0.42857142857142855,2.0,0.0,3.0
118,clumpy,2.5,0.29166666666666663,0.75,0.4583333333333333,1.0,2.5,1.5
120,clumpy,3.5,0.2857142857142857,0.0,0.14285714285714285,2.0,0.0,1.0
121,clumpy,2.0,0.55,0.5,0.2833333333333333,3.0,2.5,1.5
122,diffuse,9.75,0.27941176470588236,0.4656862745098039,0.3970588235294118,2.0,7.0,4.0
123,diffuse,5.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0,1.0
124,diffuse,3.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,1.0
126,diffuse,2.5,0.41666666666666663,0.41666666666666663,0.5,2.5,2.5,3.0
128,diffuse,1.0,1.0,0.0,1.0,2.0,0.0,2.0
129,clumpy,4.0,0.26136363636363635,0.6477272727272727,0.3522727272727273,2.0,4.5,3.0
130,clumpy,,0.0,0.0,1.0,0.0,0.0,2.0
131,diffuse,1.5,0.5,0.0,0.3333333333333333,1.5,0.0,1.0
132,clumpy,2.0,0.5,1.0,0.75,2.0,4.0,3.0
133,diffuse,3.0,0.29166666666666663,0.0,0.41666666666666663,1.0,0.0,1.5
135,diffuse,1.3333333333333333,0.5714285714285714,0.0,0.5714285714285714,4.0,0.0,4.0
136,clumpy,6.5,0.18055555555555555,0.4444444444444444,0.18055555555555555,1.5,4.5,1.5
137,diffuse,1.0,0.5,0.0,0.3333333333333333,1.5,0.0,1.0
138,clumpy,2.75,0.3666666666666667,0.0,0.26666666666666666,1.5,0.0,1.0
139,clumpy,1.0,0.5,0.0,0.5,2.0,0.0,2.0
140,diffuse,2.5,0.5,0.0,0.6666666666666666,3.0,0.0,4.0
141,clumpy,2.583333333333333,0.36507936507936506,0.1111111111111111,0.30952380952380953,3.0,1.0,2.5
142,clumpy,1.75,0.4375,0.0,0.4375,2.0,0.0,2.0
143,clumpy,4.75,0.225,0.825,0.275,2.0,7.5,2.5
144,diffuse,3.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,2.0
145,diffuse,4.5,0.25,0.0,0.625,1.5,0.0,3.5
146,clumpy,10.5,0.12777777777777777,0.3555555555555555,0.2277777777777778,1.0,2.5,1.5
147,diffuse,4.75,0.3125,0.125,0.375,3.0,1.0,3.5
149,diffuse,1.1666666666666665,0.6666666666666667,0.5,0.4166666666666667,3.0,1.0,2.5
150,clumpy,1.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.5,0.5
151,diffuse,5.0,0.2,0.0,0.2,1.0,0.0,1.0
154,diffuse,7.0,0.15000000000000002,0.15,0.15000000000000002,1.0,1.5,1.0
155,clumpy,5.25,0.2589285714285714,0.07142857142857142,0.2767857142857143,2.0,0.5,2.0
156,diffuse,2.5,0.4875,0.0,0.3875,3.0,0.0,2.5
157,diffuse,1.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,1.0,1.0
160,diffuse,2.6666666666666665,0.4444444444444444,0.0,0.5555555555555556,4.0,0.0,5.0
161,clumpy,4.25,0.3333333333333333,0.3333333333333333,0.5833333333333333,2.0,2.0,3.5
162,diffuse,3.75,0.2777777777777778,0.5,0.16666666666666666,1.5,2.5,1.5
164,clumpy,10.5,0.16666666666666666,0.28431372549019607,0.42647058823529416,1.0,3.0,4.5
165,clumpy,,0.0,1.0,1.0,0.0,2.0,2.0
166,diffuse,5.0,0.27142857142857146,0.6857142857142857,0.27142857142857146,1.5,4.0,1.5
168,clumpy,6.0,0.15476190476190477,0.25,0.23809523809523808,1.0,1.5,1.5
169,clumpy,2.583333333333333,0.45384615384615384,0.7076923076923077,0.5923076923076923,3.5,6.0,4.5
170,clumpy,2.75,0.4732142857142857,0.4107142857142857,0.7857142857142857,3.5,3.0,6.0
171,clumpy,2.0,0.3,0.0,0.2,1.5,0.0,1.0
