# Per-question correlations
pair,n,pearson_r,pearson_p,spearman_r,spearman_p
seq_typing_mean_run_explore vs n_switches_typing,165,-0.2926951998690928,0.0001361563167584725,-0.29620318247823907,0.00011203788236352789
seq_typing_mean_run_explore vs switch_rate_typing,165,-0.6660256953976705,1.6524162377876376e-22,-0.8343104152898413,5.227644334034663e-44
seq_typing_mean_run_explore vs switch_rate_topic,165,0.018934360761059768,0.8092537093659792,0.01159186983504018,0.8825217266018308
seq_typing_mean_run_explore vs switch_rate_time,165,-0.23309172672594947,0.0025870487086182403,-0.23003375472103035,0.0029553987536420135
seq_typing_entropy vs n_switches_typing,172,0.3929506572288342,9.714853161774089e-08,0.2615841794281126,0.0005279068941717077
seq_typing_entropy vs switch_rate_typing,172,0.670045619563576,9.066007101351004e-24,0.611474789861162,5.130958752365003e-19
n_switches_typing vs switch_rate_typing,172,0.6270038967968751,3.530914428119825e-20,0.665805696413985,2.175712394981144e-23

# Per-participant correlations
pair,n,pearson_r,pearson_p,spearman_r,spearman_p
seq_typing_mean_run_explore vs n_switches_typing,99,-0.1907953861210928,0.058531348076785276,-0.1956232387148385,0.05231907039069386
seq_typing_mean_run_explore vs switch_rate_typing,99,-0.6382733628837565,1.1897455242702313e-12,-0.7249750962512799,2.1714355793490755e-17
seq_typing_mean_run_explore vs switch_rate_topic,99,0.15540885518085487,0.12453625777393544,0.1652469430408342,0.10214068618278525
seq_typing_mean_run_explore vs switch_rate_time,99,-0.1843461435559833,0.06775774089568146,-0.16389717857181896,0.10501179356391253
seq_typing_entropy vs n_switches_typing,101,0.41054806684238654,2.0064569562913824e-05,0.31158295918619744,0.0015152781021248788
seq_typing_entropy vs switch_rate_typing,101,0.6454381308468722,3.1844428887368195e-13,0.5971615845153434,4.3574805326633564e-11
n_switches_typing vs switch_rate_typing,101,0.5763928669959671,2.8387152541877786e-10,0.6501592400069804,1.8768567824527467e-13

# Effect tests (per participant, condition)
measure,n_d,n_c,d_mean,c_mean,raw_d,raw_p,adj_d,adj_p
n_switches_typing,52,49,2.019230769230769,1.846938775510204,0.15611333218143345,0.4351164444761138,0.29200457415538505,0.16042774347424493
switch_rate_typing,52,49,0.38301288172611697,0.3046488059093101,0.4824482939880386,0.01689103173015851,0.5660673480890528,0.007264156816560341
seq_typing_mean_run_explore,52,47,3.2580128205128203,3.924645390070922,-0.3178094212379128,0.12233222994701431,-0.4381873386365938,0.03800652067071253
seq_typing_entropy,52,49,0.7822401784789942,0.6691058695718177,0.5171751782048898,0.01233991644272842,0.6851802207785228,0.001270272790017346
