iteration,boot_raw_d,boot_adj_d
0,-0.5748459660290166,-0.7604965086161078
1,-0.4590712966765948,-0.4869256340143229
2,-0.26378218990934676,-0.2855103439900841
3,-0.17773255926903894,-0.244839626246143
4,-0.09386987085158169,-0.15672296280141204
5,-0.4088739842637169,-0.560786283051046
6,-0.2636676452050298,-0.47872144369376235
7,-0.23737780970518343,-0.3716814712772025
8,-0.25463069327601245,-0.313532765805003
9,-0.45895072193964515,-0.643737267153981
10,-0.1757460312103617,-0.2205102914570506
11,-0.2816145912728329,-0.5221441873153966
12,-0.43789370847908354,-0.5831686495762571
13,-0.37691011788299933,-0.542075459730452
14,-0.2570261476560344,-0.4190068769556857
15,-0.5822961737284899,-0.742699494573254
16,0.16759696249238185,0.08856000517026444
17,-0.6987120540331582,-0.8398728093032506
18,0.036744551677346,-0.15658685689351706
19,-0.33314579945041783,-0.3594490187830455
20,-0.03138477801872139,-0.2701565594496471
21,-0.45684983769176046,-0.5754798658437874
22,0.2652217860309982,0.19310314619328217
23,-0.5708905621609243,-0.7051313777661898
24,-0.2667029681328021,-0.41337540462548683
25,-0.37221295219018624,-0.49231764142592344
26,-0.48738665207956666,-0.4720736173614403
27,-0.04185683932022379,-0.11291976123192343
28,-0.025768245937489262,-0.175362832874085
29,-0.21391089695680973,-0.27778044840900984
30,0.15530869779011885,0.04266847075979657
31,-0.16952852300258373,-0.39373131036399067
32,-0.10462040680678206,-0.3284299777730056
33,-0.09939302269531425,-0.230139708091832
34,-0.293901377570175,-0.3598891966726038
35,-0.3918203604491176,-0.4103544305284483
36,-0.1411229791001468,-0.24389438649989428
37,-0.5978741647354187,-0.7624829090968838
38,-0.46058610894299995,-0.5420096195210852
39,-0.12034210218373827,-0.302530285270943
40,-0.5880155016238424,-0.6566071432844822
41,-0.3455111503460673,-0.6015826759503091
42,-0.3003121891545272,-0.30132321224033565
43,-0.3121290916232504,-0.44564965069156554
44,-0.15866280047178813,-0.2122992121328577
45,-0.33815994157167084,-0.4912918250830339
46,-0.10118666146645973,-0.2877811400714487
47,-0.2528679490532978,-0.34791810380679017
48,-0.04224064215252309,-0.18614278905335924
49,-0.3041581539485488,-0.48242633367966953
50,-0.5070123861826279,-0.7446914096978043
51,-0.3458179569993343,-0.4202788659043194
52,-0.5837293377685885,-0.6484944032222331
53,-0.3906886320126257,-0.766033561271904
54,-0.7997523486691472,-0.8552898043641759
55,-0.578586662373659,-0.6876251607002692
56,-0.31995365405591075,-0.34293923944282145
57,-0.5084766950631281,-0.6412581078034034
58,-0.22292144153059476,-0.24221435818399684
59,-0.2102185472521625,-0.23300664736588025
60,-0.0526137622571754,-0.18749429275474847
61,-0.3679942220799888,-0.4255970143224644
62,-0.1374244598648407,-0.21123651985221883
63,-0.22180055318863162,-0.2780494430327838
64,-0.18761993979215408,-0.3510275701679069
65,-0.4285430103224946,-0.43065188703414464
66,-0.5652741328041369,-0.6252713444945185
67,-0.3855411399991892,-0.389387029615405
68,-0.6986584410228284,-0.8123899078947422
69,-0.49665764441420757,-0.6194492467096298
70,-0.42352565352565963,-0.5321630100781228
71,0.01294452793652057,-0.04144628536340137
72,-0.04104565794987809,-0.13548502655059658
73,-0.37289839650407747,-0.45252892339911166
74,-0.10705046718558044,-0.18591099296107633
75,-0.35504340360166836,-0.4011814733346953
76,-0.701655210168471,-0.8005001638981855
77,-0.4981248508137148,-0.6795363993694934
78,-0.2641911357392884,-0.3533414282644962
79,-0.06706010934749977,-0.1135569793908989
80,-0.2883124884400586,-0.3249159170059235
81,-0.5138349029578251,-0.5999027537894188
82,-0.2382256145316339,-0.3844925423341866
83,-0.4852263887359151,-0.6456068781568695
84,-0.24178976611700712,-0.3130392633900821
85,-0.29994532212578984,-0.41300180609979475
86,-0.5241451451712867,-0.7044788036139769
87,-0.5580440431667766,-0.6770753400821786
88,-0.35147372177483405,-0.41775443986924504
89,-0.7331397117079295,-0.9276314264749811
90,-0.17477047690126227,-0.3355260071648456
91,-0.43496497825574626,-0.514083969216624
92,-0.15036250489849115,-0.2529828250539335
93,-0.47836239967093236,-0.538533480291966
94,0.06802314153381955,-0.06456353710213486
95,-0.2756497843141798,-0.4677795126804453
96,-0.6733401897467901,-0.9490045704343586
97,-0.6017184897024296,-0.7852570413394052
98,0.1491116649634434,0.08624696941282936
99,-0.09147232214702473,-0.33131549576205443
100,-0.5384375598512948,-0.5816317830275292
101,-0.2512260440869719,-0.33927252739392366
102,-0.27623191037307276,-0.5019166596178933
103,-0.2128671921012939,-0.3025864546221738
104,0.04698539349867536,0.015285396100178063
105,-0.09668119369295486,-0.2144970139806333
106,-0.06975614982094334,-0.18678992793514473
107,-0.2870817229396387,-0.4054395477126318
108,-0.48062485733178445,-0.6007399499103963
109,-0.6712723829495623,-0.8253345787674085
110,-0.4184261869727322,-0.5931209060057563
111,-0.43292396368009767,-0.528641194990738
112,-0.03543055638486837,-0.153529142990403
113,-0.06435943968184737,-0.18187712509432838
114,-0.011583874151458505,-0.21227800183365167
115,-0.32279955805619903,-0.39574444078407844
116,-0.4429417447944962,-0.5587833148402357
117,-0.24966267528197522,-0.2805827124010052
118,-0.1389499677927972,-0.2373625078545259
119,-0.6412990050089296,-0.8094499750974675
120,-0.4292908069185703,-0.5977976550331823
121,-0.29024913967513705,-0.4060896281534379
122,-0.5563461725666591,-0.5683159011928195
123,-0.16262928886613662,-0.24360768679586295
124,-0.2479905194555698,-0.43278812539856043
125,-0.552934136441401,-0.6256432788176008
126,-0.20437955390409668,-0.3963318341396573
127,-0.328671170520919,-0.5056139948197849
128,-0.544463972089447,-0.6222146549941274
129,-0.1748347746837004,-0.2152873379473942
130,-0.4129041089542909,-0.6454799662072276
131,-0.5113953684793056,-0.6774169228221109
132,-0.4493991750900076,-0.6007196682742244
133,-0.438179192281192,-0.5120180912646262
134,-0.22092828943745285,-0.24077192886913362
135,0.1076518225754487,-0.07590539188625844
136,-0.01437147426836332,-0.20538394960296247
137,-0.1053756257640558,-0.3393869681488474
138,-0.17804917338035928,-0.19480587615243322
139,-0.2143949167368357,-0.31205372696764105
140,-0.3710495900323395,-0.4769270971506368
141,-0.2879778910056271,-0.3116158628805936
142,-0.3425735763938123,-0.43268138247254523
143,-0.470130683718389,-0.6368098438796328
144,-0.2988299272600587,-0.42659666246548955
145,-0.2730010435896232,-0.4091030971520386
146,-0.47603384508474017,-0.5941054126082974
147,-0.11752018951911834,-0.21881979303355722
148,-0.5237253283246679,-0.643972819393879
149,-0.0737542177907276,-0.14809060572793337
150,-0.5548696349159481,-0.7458639550203107
