level,subset,reading_measure,switch_measure,n,pearson_r,pearson_p,spearman_r,spearman_p
per_question,all,mean_reading_length_s,switch_rate_typing,172,0.14324413464932095,0.060846446754961994,0.25674307724390544,0.0006744216179363258
per_question,all,mean_reading_length_s,switch_rate_topic,172,-0.0923688783286125,0.2281448869904679,-0.11369882737401901,0.13751917043312853
per_question,all,mean_reading_length_s,switch_rate_time,172,0.1679113666030171,0.027683995759310735,0.13082989632593844,0.08714258469330691
per_question,all,median_reading_length_s,switch_rate_typing,172,0.10118178622145926,0.18660057177848016,0.28625193883096195,0.00014080212227403734
per_question,all,median_reading_length_s,switch_rate_topic,172,0.020899358076375007,0.7855269885145278,0.018960831174207812,0.8050027152170007
per_question,all,median_reading_length_s,switch_rate_time,172,0.13370830522449872,0.08035297477356798,0.1647198738110267,0.030826890222290862
per_participant,all,mean_reading_length_s,switch_rate_typing,101,0.0239762189734405,0.8118865625997459,0.17728433316820658,0.07613169425620973
per_participant,all,mean_reading_length_s,switch_rate_topic,101,-0.15146367661785914,0.1305385528765608,-0.14388502209354903,0.15114217576953523
per_participant,all,mean_reading_length_s,switch_rate_time,101,0.31321922307918454,0.0014262457071625015,0.1821037605247907,0.0683622045690898
per_participant,all,median_reading_length_s,switch_rate_typing,101,-0.03662728085276131,0.7161269751740309,0.23584653288561272,0.017581176487463643
per_participant,all,median_reading_length_s,switch_rate_topic,101,-0.030151482072078416,0.7646997516864015,1.7890954792582874e-05,0.9998583245860415
per_participant,all,median_reading_length_s,switch_rate_time,101,0.2686130551047228,0.006606929560814252,0.20750586274014354,0.03732681817657035
per_participant,diffuse,mean_reading_length_s,switch_rate_typing,52,0.3304412247277527,0.01673150972482605,0.26964911289921334,0.05321468932180165
per_participant,diffuse,mean_reading_length_s,switch_rate_topic,52,-0.12675040231299,0.3705678050419742,-0.024685862242901,0.8620922944303021
per_participant,diffuse,mean_reading_length_s,switch_rate_time,52,0.11222541766088315,0.42830037778206276,0.0276958797179695,0.8454710763456865
per_participant,clumpy,mean_reading_length_s,switch_rate_typing,49,-0.20543710809202992,0.15674875618431738,0.07790629155458734,0.5946735961329794
per_participant,clumpy,mean_reading_length_s,switch_rate_topic,49,-0.17312720734243373,0.2341982792455923,-0.16072029236520766,0.26994494729634133
per_participant,clumpy,mean_reading_length_s,switch_rate_time,49,0.4339102360378435,0.0018405206612245875,0.28300203154732534,0.04879719595888653
