participant_id,condition,count_time,count_topic,count_typing,seq_typing_mean_run_explore,PC1,PC2,PC3
1,diffuse,4.5,5.5,5.5,4.666666666666666,3.1276190950470912,2.5095395242771965,1.4949326737206077
2,diffuse,3.0,4.0,2.0,3.0,0.1273815268271168,0.4584781138168377,-0.3870135595076054
4,clumpy,4.0,6.5,2.0,7.0,2.6779170162232457,-0.17338960986467145,-0.9748161599615293
5,diffuse,3.0,4.5,2.0,3.0,0.5536150588108608,0.19711617435383766,-0.38315184838398175
8,clumpy,3.5,6.5,4.5,3.833333333333333,3.2485796929507007,0.7910924521750995,1.3151878709069253
10,diffuse,4.0,6.0,1.0,5.75,1.939544847653039,-0.4328088899442779,-1.7732572522181265
11,diffuse,1.0,1.5,1.0,2.5,-3.154660428632888,-0.10537735567775047,0.013320815885388249
13,diffuse,1.5,3.5,1.5,3.75,-1.0839730676659762,-0.5529635169417016,0.12250177291034842
14,clumpy,2.0,2.5,2.0,3.75,-1.5706868986015246,0.5676219585723468,0.2085124631935662
15,clumpy,3.0,6.5,2.0,6.75,2.2585491867458334,-0.8483315834981622,-0.3677050038894869
16,clumpy,3.5,6.0,3.0,2.6666666666666665,2.354138206087261,0.2712825623241897,0.11945708808384181
18,diffuse,2.0,5.0,2.0,7.0,0.5604807613171925,-0.7391877387426531,0.22782101881168493
25,clumpy,0.0,2.0,0.5,1.0,-3.303864044419789,-1.3020718785455445,0.2270039925145681
26,clumpy,6.5,7.0,4.5,3.0,4.93291671336668,2.554556433612572,-0.5022838861855792
39,clumpy,2.5,6.5,3.0,2.166666666666667,2.3610039085935917,-0.6650213507723011,0.7304299552795078
40,clumpy,0.5,2.0,1.5,2.0,-2.7820414930946185,-0.44381967218619256,0.71802779561152
41,clumpy,2.5,3.5,1.5,2.25,-0.6646052381885639,0.12197845669178897,-0.48460938316169416
43,diffuse,2.0,3.5,3.0,1.75,-0.40608119804757425,0.5656792991889534,1.010815266573787
44,diffuse,2.5,4.0,1.5,3.0,-0.23837170620482073,-0.13938348277121093,-0.4807476720380705
48,diffuse,3.5,3.0,0.5,3.5,-0.9836095772813591,0.5375011502456732,-1.8901616314903336
50,clumpy,4.0,4.0,2.0,2.0,0.5467493563045291,1.1334200874503284,-0.994124715579648
53,diffuse,5.0,5.0,3.0,2.75,2.1307228863358922,1.8064194017004258,-0.79893306827147
54,diffuse,2.5,3.5,2.5,2.5,-0.3524666016021003,0.6427596762343954,0.30996999797127905
56,clumpy,4.0,8.0,3.0,3.75,4.2687562487609405,-0.4366942087110648,-0.16865164545768507
57,clumpy,1.5,2.5,0.5,3.5,-2.248578768219927,-0.5510208575583082,-0.6798010304698723
59,clumpy,3.0,7.0,5.0,4.375,3.621198628488969,0.45265013566665746,2.0198948506330567
60,diffuse,5.0,9.0,4.0,3.0,5.852729778792304,0.2363051055390324,0.026540001850492878
61,diffuse,1.0,4.0,2.0,1.75,-0.711354132127707,-0.8914058334501438,0.82720875263648
62,diffuse,2.0,2.5,1.0,4.0,-1.8828255351879886,0.046840739029740286,-0.586066917939407
63,diffuse,2.5,7.5,1.0,8.5,2.589193699388151,-2.2293076687835143,-0.8510053847391911
71,clumpy,2.0,4.0,2.0,3.0,-0.29198630265029557,-0.21646385981665306,0.2200975965644374
72,clumpy,3.5,7.5,2.0,8.5,3.3207001654520276,-1.0335844756074166,-0.6635371596782604
73,clumpy,0.0,1.0,1.0,1.0,-4.000261790094044,-0.5189573898482412,0.6165702608338073
74,diffuse,3.0,4.0,3.0,2.0833333333333335,0.43952016341358124,0.9792593333594442,0.4075658216253678
75,clumpy,2.5,0.5,1.0,3.5,-3.378075748384256,1.4297594836984855,-0.9050693404699232
80,diffuse,1.5,3.5,3.0,1.6666666666666665,-0.6157651127862804,0.22820831237220807,1.3143708446098081
82,clumpy,3.0,8.0,1.0,9.0,3.2251111461105992,-2.1531986214297687,-1.1506992516515888
85,diffuse,2.0,0.0,1.0,4.0,-4.013993195106705,1.3536504363447401,-0.6053754735575255
88,clumpy,3.0,5.0,4.0,2.0,1.6041258639675329,0.9773166739760506,1.2098686250055883
89,clumpy,3.0,4.0,2.0,4.0,0.1273815268271168,0.4584781138168377,-0.3870135595076054
90,clumpy,3.0,3.0,0.0,4.0,-1.3493628103132975,-0.06036044634237536,-1.9838957440207992
92,diffuse,1.0,1.0,1.0,3.0,-3.5808939606166312,0.1559845837852495,0.009459104761764592
94,diffuse,2.5,2.5,1.5,2.25,-1.517072302156051,0.644702335617789,-0.4923328054089417
95,diffuse,0.5,3.5,1.5,2.0,-1.5033408971433886,-1.2279054905751923,0.7296129289823912
96,diffuse,4.0,5.0,3.0,1.5,1.7113550568584808,1.131477428066935,-0.19182191219942746
97,diffuse,3.5,5.0,3.5,3.3333333333333335,1.6577404604130068,1.0543970510214928,0.5090233564030806
100,diffuse,1.5,1.5,1.0,2.0,-2.944976513894182,0.23209363113899495,-0.29023476215063304
102,diffuse,3.0,9.0,2.0,4.5,4.389716846664552,-2.155141280813162,-0.3483964482713684
103,diffuse,1.0,2.0,1.0,2.0,-2.728426896649145,-0.36673929514075043,0.017182527009012016
104,diffuse,4.5,4.5,4.0,2.5,1.8069440761999074,2.2510915738892865,0.2953401797739006
105,clumpy,3.0,3.5,2.0,3.25,-0.29885200515662547,0.7198400532798377,-0.39087527063122907
106,clumpy,2.5,3.5,2.5,2.75,-0.3524666016021003,0.6427596762343954,0.30996999797127905
107,clumpy,2.0,5.0,1.0,5.0,0.24834212473072803,-1.2599689582852596,-0.5667583623212883
108,clumpy,2.0,3.0,1.0,3.0,-1.4565920032042454,-0.21452120043325962,-0.5822052068157834
109,diffuse,0.0,2.5,0.5,1.0,-2.8776305124360455,-1.5634338180085443,0.2308657036381918
110,clumpy,1.0,4.0,0.0,5.0,-1.3356314053006355,-1.9329682725353567,-0.7619500096294664
111,clumpy,3.0,4.0,2.0,6.75,0.1273815268271168,0.4584781138168377,-0.3870135595076054
113,diffuse,1.0,4.5,1.5,2.75,-0.44118991843719524,-1.413158382684447,0.4337807731936172
114,diffuse,3.0,4.0,2.0,3.0,0.1273815268271168,0.4584781138168377,-0.3870135595076054
118,clumpy,1.5,1.5,1.0,2.5,-2.944976513894182,0.23209363113899495,-0.29023476215063304
120,clumpy,1.0,5.0,2.0,3.5,0.14111293183978013,-1.4141297123761438,0.8349321748837275
121,clumpy,1.5,5.5,3.0,2.0,1.089169015148693,-0.8172394454797918,1.3298176891043032
122,diffuse,4.0,7.0,2.0,9.75,3.1041505482069898,-0.43475154932767135,-0.9709544488379056
123,diffuse,1.0,2.0,1.0,5.0,-2.728426896649145,-0.36673929514075043,0.017182527009012016
124,diffuse,1.0,3.0,1.0,3.0,-1.8759598326816578,-0.8894631740667504,0.02490594925625944
126,diffuse,3.0,4.5,2.5,2.5,0.7096843771040922,0.457506784125141,0.014137842182504856
128,diffuse,2.0,2.0,2.0,1.0,-1.9969204305852681,0.8289838980353468,0.20465075206994254
129,clumpy,3.0,4.5,2.0,4.0,0.5536150588108608,0.19711617435383766,-0.38315184838398175
130,clumpy,2.0,2.0,0.0,,-2.6211977037581966,-0.21257854104986618,-1.384508010196004
131,diffuse,1.0,3.0,1.5,1.5,-1.719890514388426,-0.6290725642954471,0.422195639822746
132,clumpy,3.0,2.0,2.0,2.0,-1.5775526011078558,1.5039258716688377,-0.40246040400210026
133,diffuse,1.5,3.5,1.0,3.0,-1.2400423859592085,-0.8133541267130049,-0.2747879176561382
135,diffuse,4.0,5.0,4.0,1.3333333333333333,2.0234936934449452,1.6522586476095413,0.6027574689335458
136,clumpy,1.5,2.5,1.5,6.5,-1.936440131633463,-0.030239638015701786,0.11477835066310088
137,diffuse,1.0,2.0,1.5,1.0,-2.5723575783559127,-0.1063486853694472,0.4144722175754987
