participant_id,condition,trial,map_id,explore_dur_mean,explore_dur_median,exploit_dur_mean,exploit_dur_median,pct_time_exploit,n_transitions,total_collected,time_to_first_resource,inter_resource_mean,collection_rate,path_length,coverage_entropy,heading_variability,patch_leaving_distance,levy_alpha
1,Diffuse,1,Diffuse_5,42.217,42.217,8.834,8.834,29.5032,2,107,0.044,0.562575,1.7833,3445.22,5.86317,15.5765,8.06226,1.33316
1,Diffuse,2,Diffuse_2,11.0943,5.25,13.2755,13.2755,44.3744,4,104,0.003,0.578,1.7333,3436.97,6.02958,18.9334,5.58114,1.32699
1,Diffuse,3,Diffuse_3,10.609,10.609,38.6,38.6,64.5291,2,150,0.125,0.40147,2.49996,3437.14,6.21203,18.4941,4.12311,1.37445
1,Diffuse,4,Diffuse_4,10.6833,5.483,9.27267,13.034,46.4656,5,114,0.007,0.528177,1.9,3439.91,6.13857,17.7295,14.4031,1.33932
1,Diffuse,5,Diffuse_5,6.6738,3.083,6.62075,5.05,44.2475,8,134,0,0.451523,2.23609,3450.16,6.29933,16.4408,9.80196,1.35623
2,Diffuse,1,Diffuse_3,18.0227,13.517,2.8745,2.8745,9.61098,4,120,0.127,0.494639,1.99993,3463.16,5.97547,15.2729,12.9043,1.35675
2,Diffuse,2,Diffuse_4,28.9745,28.9745,1.85,1.85,3.0937,2,146,0.015,0.413669,2.43333,3439.62,6.56721,13.8726,18.4391,1.35976
2,Diffuse,3,Diffuse_2,59.783,59.783,,,0,0,113,0.008,0.53275,1.8833,3443.06,6.56477,14.362,,1.34438
2,Diffuse,4,Diffuse_5,59.849,59.849,,,0,0,109,0.039,0.552944,1.81664,3447.05,6.45683,14.0569,,1.32779
2,Diffuse,5,Diffuse_2,6.987,2.55,6.2205,6.2415,41.5969,8,117,0.015,0.513784,1.94997,3433.97,6.13691,17.2493,13.1705,1.34845
4,Clumpy,1,Clumpy_4,13.95,13.95,45.9,45.9,76.6917,1,298,0.455,0.133165,4.96617,3809.11,5.00601,17.8343,29.5466,1.61469
4,Clumpy,2,Clumpy_5,25.1,25.1,34.8,34.8,58.0968,1,391,25.201,0.0816641,6.51656,3839.84,5.36832,19.9561,,1.62377
4,Clumpy,3,Clumpy_3,31.35,31.35,28.517,28.517,47.6339,1,471,31.447,0.0607468,7.84948,3937.71,6.28504,20.1554,,1.63375
4,Clumpy,4,Clumpy_4,10.616,10.616,24.6255,24.6255,82.2674,2,793,0.445,0.0747677,13.2142,3627.04,5.39243,21.8972,80.0562,1.63006
4,Clumpy,5,Clumpy_1,18.683,18.683,22.517,22.517,37.6017,2,370,9.133,0.0554634,6.16667,3981.7,6.33943,20.8634,85.3815,1.62594
5,Diffuse,1,Diffuse_3,58.419,58.419,1.442,1.442,2.40891,1,132,0.002,0.451191,2.19982,3452.53,6.33665,14.6903,8.24621,1.36496
5,Diffuse,2,Diffuse_2,59.758,59.758,,,0,0,105,0,0.579291,1.7555,3440.3,6.1195,12.2633,,1.32585
5,Diffuse,3,Diffuse_1,5.2805,5.5125,12.8443,7.418,64.5931,6,110,0.14,0.545174,1.84282,3436.99,5.85837,18.7264,8.4165,1.3477
5,Diffuse,4,Diffuse_1,9.53,9.53,13.6003,10.612,68.1596,4,109,0.452,0.549435,1.81658,3432.46,6.00618,19.5111,4.7827,1.33657
5,Diffuse,5,Diffuse_1,13.9087,14.836,8.552,8.552,29.0736,4,127,0.394,0.466472,2.15741,3383.98,6.40281,16.4105,11.4075,1.34922
8,Clumpy,1,Clumpy_3,12.1175,12.1175,35.649,35.649,59.5301,2,396,20.409,0.0889013,6.59912,4428.57,5.65168,18.7339,18.1108,1.61416
