feature,n_clumpy,n_diffuse,mean_clumpy,sd_clumpy,mean_diffuse,sd_diffuse,t,df,p_welch,U,p_mwu,cohens_d,d_se,d_ci_lo,d_ci_hi,p_fdr,fdr_significant,theory_pred,matches_theory
explore_dur_mean_mean,72,60,17.554895972222223,9.628082367238045,43.03461000000001,13.868421503065083,-12.02053648743218,102.21041472169797,2.8341683105016095e-21,348.0,1.2453341504856105e-16,-2.15708012148822,0.2195006498677677,-2.5873013952290447,-1.7268588477473954,8.502504931504828e-21,True,,False
explore_dur_mean_sd,72,60,10.480197850000001,6.656981452845711,15.34133073,9.09795984417718,-3.4416106283602272,105.87717756734568,0.0008289266193720817,1463.0,0.0014573027250699853,-0.6149416762965323,0.17885176624106752,-0.9654911381290247,-0.26439221446403993,0.001081208633963585,True,,False
explore_dur_median_mean,72,60,17.309841666666667,9.726726008094875,42.55220166666666,14.289039688996809,-11.622480277556178,100.8643361138276,2.5334767145590312e-20,377.0,3.7565727949039016e-16,-2.0889354310862123,0.21698971751502424,-2.5142352774156596,-1.6636355847567648,6.909481948797358e-20,True,,False
explore_dur_median_sd,72,60,10.569868266666667,6.746116287560379,15.946486396666666,9.51406583571354,-3.674772090478518,103.67347714292367,0.00037886741135340996,1429.0,0.0008425121603309392,-0.6583071587473661,0.17943550987544302,-1.0100007581032344,-0.3066135593914978,0.0005166373791182863,True,,False
exploit_dur_mean_mean,71,49,22.822907042253522,7.656126705574226,10.400232040816325,8.659620016232665,8.093386715038704,94.8326067517116,1.932395881328623e-12,3092.0,5.256121922460282e-13,1.5277843450142674,0.2102812192307897,1.1156331553219196,1.9399355347066152,3.864791762657246e-12,True,+,True
exploit_dur_mean_sd,71,40,9.953019436619718,4.913383383980037,6.190422742499999,6.481688507081045,3.191018722424764,64.5683117426388,0.0021898389733776857,2102.0,2.840449816990466e-05,0.6762066438885124,0.20284037114182069,0.27863951645054386,1.073773771326481,0.002526737276974253,True,,False
exploit_dur_median_mean,71,49,22.751710563380282,7.733406311317319,10.306959999999998,8.69699335854016,8.056654897963666,95.23335873818885,2.2552185586660644e-12,3082.0,7.772058914709589e-13,1.51926000926845,0.2100237273259925,1.1076135037095047,1.9309065148273954,4.228534797498871e-12,True,+,True
exploit_dur_median_sd,71,40,10.098253098591547,4.873943086740987,6.221199927500001,6.606987498583479,3.246825027331026,63.266516144279635,0.0018682972462050235,2113.0,2.1049378329571113e-05,0.6929419560840352,0.20309462932073624,0.2948764826153922,1.0910074295526782,0.0022419566954460283,True,,False
pct_time_exploit_mean,72,60,53.52904027777778,16.44258280165254,14.731043833333334,17.183807404224776,13.171654961882256,123.59128518822826,2.7041263542499596e-25,4026.5,1.4516913669763346e-17,2.2983753284263657,0.22486692880546102,1.8576361479676622,2.7391145088850695,1.0140473828437348e-24,True,+,True
pct_time_exploit_sd,72,60,20.227623194444444,8.54059782238988,14.170185116666666,12.060993386494998,3.2671200939732365,103.58008885556194,0.001474149413788734,2907.5,0.0006375457060994983,0.5853435409682488,0.17847516726954935,0.2355322131199321,0.9351548688165655,0.0018426867672359177,True,,False
n_transitions_mean,72,60,2.4444444444444446,0.8260100754575779,1.3900000000000001,1.2418821145506034,5.62174066421431,99.30532131866833,1.738532455925626e-07,3309.5,1.432263856594022e-07,1.0122529563611058,0.1855716262346305,0.64853256894123,1.3759733437809816,2.745051246198357e-07,True,-,False
n_transitions_sd,72,60,1.1264437083333334,0.5895134331151134,1.4592306499999999,1.0279052817805574,-2.221713333103915,90.14773126386157,0.028806291397327374,1731.5,0.049954895818770786,-0.40441562640705264,0.1765646360482094,-0.750482313061543,-0.05834893975256222,0.030863883639993615,True,,False
total_collected_mean,72,60,477.2347222222222,137.88489066304976,124.07000000000001,9.400528293845504,21.673002200431128,71.79154951085887,3.1814967166305524e-33,4262.0,7.679512605607602e-22,3.4391282626284663,0.274512445718,2.9010838690211864,3.977172656235746,2.3861225374729142e-32,True,,False
total_collected_sd,72,60,144.7005111111111,58.32658635440775,11.1218185,4.167882465158905,19.373602307809993,71.86951498361492,3.0075842560683666e-30,4320.0,5.666709616581395e-23,3.0745108433457147,0.2576061387058317,2.5696028114822846,3.5794188752091447,1.80455055364102e-29,True,,False
time_to_first_resource_mean,72,60,11.08782638888889,5.983686394207453,0.17580000000000004,0.14067925774371298,15.46887919527118,71.09418083863626,1.8921550626760255e-24,4320.0,5.668164230574563e-23,2.4527975955598547,0.23096374757716776,2.000108650308606,2.9054865408111032,6.307183542253419e-24,True,,False
time_to_first_resource_sd,72,60,9.472540833333333,4.801309589911859,0.20354302333333335,0.15588126746454933,16.370608614163448,71.17958965767846,7.78832901224136e-26,4320.0,5.668891671920888e-23,2.5960185742591344,0.2368190325627539,2.1318532704361366,3.060183878082132,3.337855290960583e-25,True,,False
inter_resource_mean_mean,72,60,0.10002446111111112,0.0394924372395189,0.48880465,0.042286256535553936,-54.19416116336152,122.26312987475767,2.4237225531039344e-87,0.0,5.668891671920888e-23,-9.477532777976924,0.608930676704184,-10.671036904317125,-8.284028651636723,3.6355838296559015e-86,True,,False
inter_resource_mean_sd,72,60,0.035695959166666666,0.03768557035322349,0.04535900333333333,0.021086413135106584,-1.8549999191045354,114.86059816102936,0.06616055649436017,1270.0,4.801640398898994e-05,-0.3072911182922511,0.17582160485853318,-0.651901463814976,0.03731922723047393,0.06616055649436017,False,,False
collection_rate_mean,72,60,8.023097777777778,2.300017381068571,2.069173666666667,0.15684532790183062,21.904333035205063,71.79193169252935,1.6383361262514062e-33,4262.0,7.689791477520758e-22,3.475837866806311,0.27625824780633734,2.93437170110589,4.017304032506733,1.638336126251406e-32,True,,False
collection_rate_sd,72,60,2.454295222222222,1.0172499726215347,0.18545533833333336,0.06989103977634525,18.871908793345874,71.80387810191475,1.507132510162743e-29,4320.0,5.668891671920888e-23,2.9946831365698356,0.25401916053896056,2.496805581913473,3.492560691226198,7.535662550813715e-29,True,,False
path_length_mean,72,60,4222.77375,698.9481849772003,3776.7653333333337,686.9950007798435,3.6847423903391485,126.48114983185667,0.00033812526712897643,3544.0,2.5704372641320687e-10,0.6393642761438233,0.1791758631636466,0.288179584343076,0.9905489679445706,0.0004830360958985377,True,,False
path_length_sd,72,60,577.3189833333332,607.6529303340055,357.84153233333325,606.0264413309823,2.06929956823365,125.86150082693429,0.04056430944347342,3184.0,2.9043962625860823e-06,0.3595374792716127,0.17619649269102916,0.014192353597195562,0.70488260494603,0.04196307873462767,True,,False
coverage_entropy_mean,72,60,5.847143194444445,0.38847641973076685,6.461620833333332,0.2946617082165993,-10.323173454147595,128.92682686292918,1.406387553400588e-18,430.0,2.702286341239759e-15,-1.7503120802367185,0.20532917995192992,-2.1527572729425013,-1.3478668875309359,3.51596888350147e-18,True,,False
coverage_entropy_sd,72,60,0.46183000138888886,0.17737380188056617,0.2135253933333333,0.10490265835642766,9.969144556565471,118.07737352843193,2.359499019873783e-17,3871.0,5.405153526070599e-15,1.657730587214783,0.20239791072753624,1.261030682188812,2.054430492240754,5.4449977381702684e-17,True,,False
heading_variability_mean,72,60,17.80152222222222,3.3371867760271923,14.211688,3.6217967885959688,5.875495664533207,121.48570395816915,3.774439139038007e-08,3320.0,1.1644048139295725e-07,1.028776489096604,0.18591550430057094,0.664382100667485,1.393170877525723,6.660774951243541e-08,True,,False
heading_variability_sd,72,60,1.8712899027777776,0.9643418500565322,2.6668992499999997,1.3574738230511627,-3.809041845996968,103.80375023450276,0.0002365546016236043,1352.0,0.00022396140311480982,-0.6822562884672487,0.17977406179638894,-1.034613449588171,-0.3298991273463264,0.00035483190243540646,True,,False
patch_leaving_distance_mean,69,48,33.98857782608696,21.639637513259625,9.574845833333333,3.767424414468784,9.173767872712551,73.85189556051073,7.956364627585386e-14,3116.0,6.095527532446369e-16,1.4425425637935572,0.21028301438188168,1.0303878556050692,1.8546972719820451,1.7049352773397256e-13,True,,False
patch_leaving_distance_sd,66,37,25.784276515151518,28.475452950534002,4.565763162162162,3.6593132840973763,5.966395076957382,68.77815575677838,9.429263085210815e-08,2356.0,6.269596988044678e-15,0.9177538007313211,0.21509821337195745,0.49616130252228446,1.3393462989403577,1.5715438475351357e-07,True,,False
levy_alpha_mean,72,60,1.6237329166666667,0.005588462823116232,1.3443105,0.005294939517267924,294.36774391596765,127.83775129936484,6.999412882619267e-183,4320.0,5.668164230574563e-23,50.90650595914718,3.1379513532858443,44.75612130670693,57.056890611587434,2.09982386478578e-181,True,,False
levy_alpha_sd,72,60,0.011114520555555556,0.004291893795660684,0.009057717666666664,0.0034142022052672995,3.065699345482131,129.7414138253687,0.0026428083889100773,2759.0,0.006234477509051209,0.52192789300146,0.17772846364182462,0.17358010426348375,0.8702756817394364,0.0029364537654556415,True,,False
