spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,r_partial,p_partial,p_fdr,fdr_significant
explore_dur_mean_mean,count_time,132,-0.03676568877633595,0.6755599715168715,-0.03408261995795873,0.6980398253160846,-0.04642359279240135,0.5985173276208142,0.9556464431004119,False
explore_dur_mean_mean,count_topic,132,-0.018851853324514455,0.8301179288125976,0.00732968337419323,0.9335240968686005,0.03028553686813125,0.7313047671978556,0.9556464431004119,False
explore_dur_mean_mean,count_typing,132,-0.05114708046428516,0.560278759791268,-0.04542695288675629,0.6050032655747387,-0.04995821982247,0.5709371833731103,0.8693980755381744,False
explore_dur_mean_mean,PC1,132,-0.02968329717753873,0.7354642212971623,-0.009277776273271547,0.9159140326916251,0.0052279822153844056,0.9527419086649516,0.9556464431004119,False
explore_dur_mean_mean,seq_typing_mean_run_explore,130,-0.11391021668810647,0.19689893379749496,-0.08726748327430939,0.3235066100428337,-0.09170359746432921,0.3013257526121298,0.730097857471973,False
explore_dur_mean_mean,seq_typing_entropy,132,0.10380167012206748,0.23623496436156052,0.08117616487766555,0.35480948263822687,-0.013178625399483059,0.88124029342009,0.7423353487559324,False
explore_dur_mean_sd,count_time,132,0.07799401104937441,0.374048663745594,0.0989547557864542,0.25895547350614534,0.08392476028510458,0.3405701785239703,0.7605039333765344,False
explore_dur_mean_sd,count_topic,132,0.08287310023532685,0.3448070852684202,0.09616908930071781,0.27267003371783793,0.10348539647762861,0.23949351951348108,0.7605039333765344,False
explore_dur_mean_sd,count_typing,132,0.07968023939868037,0.3637756147945974,0.1006191902459632,0.25099035353542304,0.09076963643734756,0.30250368291427576,0.7605039333765344,False
explore_dur_mean_sd,PC1,132,0.09107108230919853,0.2990209649961488,0.10981209679169217,0.21004576131389774,0.10946471420851432,0.21327256441723264,0.7474461495107344,False
explore_dur_mean_sd,seq_typing_mean_run_explore,130,-0.0002449923717906897,0.9977927636573927,-0.025250552197153473,0.7755173761936315,0.020761316861431144,0.8153473658325332,0.9977927636573927,False
explore_dur_mean_sd,seq_typing_entropy,132,0.009596118342867338,0.9130399784514532,-0.005720556865516715,0.9480946935323965,-0.03785270164099651,0.6677445024985396,0.9782571197694142,False
explore_dur_median_mean,count_time,132,-0.03527436582676333,0.6880211272925032,-0.03114063270660255,0.7229928915401489,-0.04358260198381008,0.6211085672233108,0.9556464431004119,False
explore_dur_median_mean,count_topic,132,-0.018466436676999147,0.8335403059265696,0.004147074917482298,0.9623591755680644,0.029482625600241008,0.7381662820375996,0.9556464431004119,False
explore_dur_median_mean,count_typing,132,-0.05195028613490063,0.554127760065576,-0.04551978003242633,0.6042649923746265,-0.050650327708025265,0.5656076161183385,0.8693980755381744,False
explore_dur_median_mean,PC1,132,-0.029175588079026867,0.7398254378366449,-0.010869295825210705,0.9015570858112889,0.005160743714437627,0.9533490183848563,0.9556464431004119,False
explore_dur_median_mean,seq_typing_mean_run_explore,130,-0.11449035292160814,0.19461306235383355,-0.08200557623232468,0.35364603358400354,-0.0921216132474265,0.29911825549110693,0.730097857471973,False
explore_dur_median_mean,seq_typing_entropy,132,0.10142480800847731,0.24719641811186363,0.07711278957740754,0.37948721855003825,-0.013992730564599558,0.8739628005713618,0.7423353487559324,False
explore_dur_median_sd,count_time,132,0.07570134720424261,0.3882976172955367,0.0975429192420755,0.2658461154759826,0.08219022748257597,0.350678279235622,0.7605039333765344,False
explore_dur_median_sd,count_topic,132,0.08462002784939678,0.3346976922602046,0.10563838401795048,0.22800057476496854,0.10705424674452396,0.22358540404978733,0.7605039333765344,False
explore_dur_median_sd,count_typing,132,0.08668360488012476,0.32300174415219657,0.10714095177305541,0.22141618215113085,0.09920096511807279,0.2596121998916687,0.7550690123038362,False
explore_dur_median_sd,PC1,132,0.09287295872506658,0.28952170909222397,0.11794970827909476,0.17799414051228332,0.11296370481825034,0.19891345188160114,0.7474461495107344,False
explore_dur_median_sd,seq_typing_mean_run_explore,130,0.0018591642284173987,0.9832512247353213,-0.013547408314705987,0.8784145286425686,0.024533560910959207,0.7825656989961494,0.9959005606481017,False
explore_dur_median_sd,seq_typing_entropy,132,0.017378924863198343,0.8432136838263856,0.0031708378611326688,0.9712155818296347,-0.03287538106794044,0.709319297958972,0.9556464431004119,False
exploit_dur_mean_mean,count_time,120,0.019077246724269473,0.8361565317777571,0.026122081050054313,0.7770187382572545,0.04507461944927513,0.6264259691624725,0.9556464431004119,False
exploit_dur_mean_mean,count_topic,120,0.01813376414582167,0.8441543580720305,0.04135859099214971,0.6537848082355561,0.021351702517547692,0.817713124781376,0.9556464431004119,False
exploit_dur_mean_mean,count_typing,120,-0.03606613335352311,0.6957405777432245,0.03596892633447403,0.6965203369437268,-0.05064733010872667,0.584367311723049,0.9556464431004119,False
exploit_dur_mean_mean,PC1,120,0.012777968303977344,0.8898324979595013,0.04597134353095996,0.6180728197729235,0.018858527293989687,0.8386904151964256,0.970726361410365,False
exploit_dur_mean_mean,seq_typing_mean_run_explore,118,0.13485675631457236,0.14539680497174315,0.10437037697551003,0.26069141985842387,0.1469993717324537,0.11374681106093121,0.730097857471973,False
