condition,spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,p_fdr,fdr_significant
Clumpy,explore_dur_mean_mean,count_time,72,-0.08746268792581578,0.46504880663975906,0.030592205155271966,0.7986458100906396,0.9068835643557314,False
Clumpy,explore_dur_mean_mean,count_topic,72,-0.004506734729720184,0.9700290770043896,0.13732599408063162,0.25001386171898693,0.9809282801167984,False
Clumpy,explore_dur_mean_mean,count_typing,72,-0.04830934817205827,0.6869631796548166,0.06998386133708893,0.5591148427666467,0.9585532739369533,False
Clumpy,explore_dur_mean_mean,PC1,72,-0.02972901653465354,0.8042125986550956,0.13153028615775209,0.27075237776590133,0.9643538331354592,False
Clumpy,explore_dur_mean_mean,seq_typing_mean_run_explore,70,-0.05885277082976592,0.6284203000261852,-0.020915373483622754,0.8635487691203733,0.9404818982673262,False
Clumpy,explore_dur_mean_mean,seq_typing_entropy,72,-0.0824419793431407,0.4911545238684387,-0.08106217663732403,0.4984614598649773,0.9068835643557314,False
Clumpy,explore_dur_mean_sd,count_time,72,0.0859553570572441,0.4728060645259359,0.12439533129645033,0.2978261253126449,0.9068835643557314,False
Clumpy,explore_dur_mean_sd,count_topic,72,0.06475190322989705,0.5889282503157818,0.13082354130017165,0.27335796094095377,0.9404818982673262,False
Clumpy,explore_dur_mean_sd,count_typing,72,0.11384231229669242,0.3410066446806469,0.13456798588642024,0.25974320071867113,0.9068835643557314,False
Clumpy,explore_dur_mean_sd,PC1,72,0.08494923378226785,0.4780224564921218,0.14934636892826425,0.21053228910978972,0.9068835643557314,False
Clumpy,explore_dur_mean_sd,seq_typing_mean_run_explore,70,-0.11589752168371963,0.3393585696677659,-0.108153343688574,0.3728214135307781,0.9068835643557314,False
Clumpy,explore_dur_mean_sd,seq_typing_entropy,72,-0.03811289885416875,0.7505955092203827,-0.031524179803403794,0.7926466445948872,0.9643538331354592,False
Clumpy,explore_dur_median_mean,count_time,72,-0.07886274317327203,0.5102247422255117,0.05296488301127372,0.6585856198554462,0.9068835643557314,False
Clumpy,explore_dur_median_mean,count_topic,72,-0.00783225342105516,0.9479377473222997,0.12770946341771816,0.28503806640141716,0.9809282801167984,False
Clumpy,explore_dur_median_mean,count_typing,72,-0.04265905816864508,0.7219895459447152,0.08148693697888774,0.4962060750009946,0.9643538331354592,False
Clumpy,explore_dur_median_mean,PC1,72,-0.029543423629377848,0.8054107857662605,0.1316589221344345,0.2702799281555729,0.9643538331354592,False
Clumpy,explore_dur_median_mean,seq_typing_mean_run_explore,70,-0.058204866273036976,0.632212831613036,0.002717420695692814,0.9821877202518533,0.9404818982673262,False
Clumpy,explore_dur_median_mean,seq_typing_entropy,72,-0.08159865731180817,0.495613750302327,-0.08278313951434658,0.489356583562351,0.9068835643557314,False
Clumpy,explore_dur_median_sd,count_time,72,0.09548770848010961,0.42493709080437225,0.14096408257821397,0.23756519877252977,0.9068835643557314,False
Clumpy,explore_dur_median_sd,count_topic,72,0.09001058561180524,0.45209535075201646,0.16828928660098552,0.1576290083296643,0.9068835643557314,False
Clumpy,explore_dur_median_sd,count_typing,72,0.12845304054508555,0.2822195426997839,0.15235439160851882,0.20138420402468651,0.9068835643557314,False
Clumpy,explore_dur_median_sd,PC1,72,0.10843157941076194,0.3645935454769798,0.18354745922869684,0.12274876434756372,0.9068835643557314,False
Clumpy,explore_dur_median_sd,seq_typing_mean_run_explore,70,-0.10178050450379832,0.4018037082296668,-0.0829426923311142,0.4948400690952763,0.9068835643557314,False
