feature,n_hunter,n_busybody,mean_hunter,mean_busybody,t,p,cohens_d,p_fdr,fdr_significant
explore_dur_mean_mean,49,81,27.126974081632653,30.11588987654321,-0.9573951342323022,0.3406138371613929,-0.17250274459797024,0.8438991485625955,False
explore_dur_mean_sd,49,81,11.954866991836735,12.920649461728395,-0.6600180628724992,0.5106712821408561,-0.1176808160469286,0.8438991485625955,False
explore_dur_median_mean,49,81,26.716338775510202,29.78597407407407,-0.9776636892108574,0.33053936557613195,-0.17624643285541478,0.8438991485625955,False
explore_dur_median_sd,49,81,12.355121481632652,13.213556128395062,-0.5629760495842348,0.5746380217392034,-0.10038136598312196,0.8438991485625955,False
exploit_dur_mean_mean,45,73,17.111893555555557,18.181695342465755,-0.5670150567091118,0.5719749110926623,-0.10509083682762183,0.8438991485625955,False
exploit_dur_mean_sd,42,68,8.745540714285713,8.516190142647059,0.20086697013912738,0.8412648506050852,0.039244220869047095,0.9300952830639323,False
exploit_dur_median_mean,45,73,16.92629733333333,18.164250821917808,-0.6524533422648556,0.5156091559639253,-0.12100686994615738,0.8438991485625955,False
exploit_dur_median_sd,42,68,8.98252880952381,8.539560398529408,0.3868624234987708,0.699775935638733,0.07523337129902151,0.8438991485625955,False
pct_time_exploit_mean,49,81,37.22848773469388,35.4480660617284,0.38201606072016475,0.7032492904688296,0.06914388164379315,0.8438991485625955,False
pct_time_exploit_sd,49,81,16.90768924489796,17.765493876543207,-0.46505986950573497,0.6427428939024552,-0.07966213267567353,0.8438991485625955,False
n_transitions_mean,49,81,2.2244897959183674,1.8253086419753088,1.859804774633375,0.06611104067986216,0.3468465267446983,0.8438991485625955,False
n_transitions_sd,49,81,1.4028181632653065,1.1959572345679013,1.3131606170087073,0.1925354939201646,0.24798393218891074,0.8438991485625955,False
total_collected_mean,49,81,318.9265306122449,317.39444444444445,0.040501274813298974,0.9677779162785026,0.0074632026310091125,0.9903260134841162,False
total_collected_sd,49,81,74.2740793877551,89.0521224691358,-1.0869288772208368,0.27930659428991667,-0.1872566779247947,0.8438991485625955,False
time_to_first_resource_mean,49,81,5.26631836734694,6.523645679012346,-1.0193665580166658,0.31036197937645227,-0.18217073805783207,0.8438991485625955,False
time_to_first_resource_sd,49,81,4.681717295918367,5.505597591358024,-0.7974975821532992,0.42698920738196644,-0.143417017841344,0.8438991485625955,False
inter_resource_mean_mean,49,81,0.2801288571428572,0.27411573827160496,0.16651348819407188,0.8680889308596702,0.030260847788190638,0.9300952830639323,False
inter_resource_mean_sd,49,81,0.03702171102040816,0.04151242370370371,-0.8652069765589994,0.38855325672329893,-0.14158705491675652,0.8438991485625955,False
collection_rate_mean,49,81,5.343288163265306,5.335562592592592,0.012156488615642716,0.9903260134841162,0.0022381275113284656,0.9903260134841162,False
collection_rate_sd,49,81,1.2531447469387755,1.5129392432098767,-1.1212309984158346,0.2644619279602046,-0.1921749872111818,0.8438991485625955,False
path_length_mean,49,81,4068.9100000000003,3970.1801234567897,0.7409646576321371,0.4605884202586387,0.13785495940848677,0.8438991485625955,False
path_length_sd,49,81,516.7933351020407,445.5460780246914,0.60643378797596,0.5458093562984784,0.11506491924262631,0.8438991485625955,False
coverage_entropy_mean,49,81,6.092994285714285,6.141675802469136,-0.562417989410625,0.5751665148555167,-0.10410050276991234,0.8438991485625955,False
coverage_entropy_sd,49,81,0.3398148142857143,0.35488975061728395,-0.4292437851275211,0.6686353186797137,-0.07710018672234198,0.8438991485625955,False
heading_variability_mean,49,81,16.3583593877551,16.0512712345679,0.4319583476758053,0.666686282005647,0.07810243569777045,0.8438991485625955,False
heading_variability_sd,49,81,2.1126307551020407,2.313275765432099,-0.9670651524002616,0.33544785314764064,-0.16429778831584424,0.8438991485625955,False
patch_leaving_distance_mean,44,71,20.504500454545454,26.244979154929574,-1.6607084949450255,0.09960908757883986,-0.2781839357625027,0.8438991485625955,False
patch_leaving_distance_sd,39,63,16.405370615384616,18.95976560317461,-0.5844168936558687,0.560360664796814,-0.10147371352458665,0.8438991485625955,False
levy_alpha_mean,49,81,1.4922448979591838,1.4997267901234568,-0.2943489293813763,0.7690981998860952,-0.053411955666067525,0.8874209998685714,False
levy_alpha_sd,49,81,0.009712327755102041,0.010468582098765432,-1.0810395438615368,0.28189936141088495,-0.18598111071151838,0.8438991485625955,False
