participant_id,condition,explore_dur_mean_mean,explore_dur_mean_sd,explore_dur_median_mean,explore_dur_median_sd,exploit_dur_mean_mean,exploit_dur_mean_sd,exploit_dur_median_mean,exploit_dur_median_sd,pct_time_exploit_mean,pct_time_exploit_sd,n_transitions_mean,n_transitions_sd,total_collected_mean,total_collected_sd,time_to_first_resource_mean,time_to_first_resource_sd,inter_resource_mean_mean,inter_resource_mean_sd,collection_rate_mean,collection_rate_sd,path_length_mean,path_length_sd,coverage_entropy_mean,coverage_entropy_sd,heading_variability_mean,heading_variability_sd,patch_leaving_distance_mean,patch_leaving_distance_sd,levy_alpha_mean,levy_alpha_sd
1,Diffuse,16.2555,14.6234,13.3284,16.3839,15.3206,13.233,15.7587,13.2093,45.824,12.4624,4.2,2.48998,121.8,19.6265,0.0358,0.0529405,0.504349,0.0754276,2.03053,0.327536,3441.88,5.70477,6.10853,0.169155,17.4349,1.405,8.39432,4.01107,1.34603,0.0192673
2,Diffuse,34.7232,24.1896,32.9347,26.2734,3.64833,2.2857,3.65533,2.29752,10.8603,17.6246,2.8,3.34664,121,14.5774,0.0408,0.0496004,0.501557,0.0537014,2.01663,0.24297,3445.37,11.0436,6.34024,0.26922,14.9627,1.38694,14.838,3.1215,1.34743,0.012599
4,Clumpy,19.9398,8.38467,19.9398,8.38467,31.2719,9.41861,31.2719,9.41861,60.4583,18.9184,1.4,0.547723,464.6,193.655,13.3362,14.3052,0.0811614,0.0309138,7.74262,3.22667,3839.08,137.773,5.67825,0.598959,20.1413,1.49676,64.9948,30.8143,1.62564,0.00722818
5,Diffuse,29.3792,27.2959,29.6111,27.1156,9.10967,5.57428,7.006,3.9379,32.847,32.6896,3,2.44949,116.6,12.054,0.1976,0.214427,0.518313,0.0561279,1.95442,0.207633,3429.25,26.3799,6.1447,0.226537,16.3203,2.96205,8.21322,2.70888,1.34486,0.0146748
8,Clumpy,24.4337,16.0607,24.4337,16.0607,20.866,9.71919,20.866,9.71919,45.6677,17.5279,2,0.707107,431.8,87.2451,20.6948,17.1343,0.0792591,0.0344137,7.22572,1.50048,4951.39,1575.73,6.10684,0.434973,16.633,2.26343,20.5997,3.2969,1.6182,0.00603951
10,Diffuse,48.5224,13.1623,48.5224,13.1623,18.7883,11.6426,18.7883,11.6426,18.8477,22.0089,0.6,0.547723,125.6,7.1624,0.7036,0.782919,0.47314,0.028868,2.097,0.123697,3434.97,10.019,6.57172,0.141643,15.2726,3.62795,13.3482,4.32885,1.34707,0.00878029
11,Diffuse,34.0608,17.8597,34.1544,17.723,6.50088,1.88484,6.40913,1.86845,16.151,14.7535,2.2,1.78885,110,7.58288,0.3048,0.415362,0.545897,0.040266,1.83429,0.125802,3439.98,4.12957,6.06131,0.155768,16.568,2.14606,13.682,4.78774,1.33979,0.00970743
13,Diffuse,31.1028,21.0284,27.9651,24.4511,11.9416,3.58796,11.9416,3.58796,22.6509,15.9006,2.2,1.78885,125.6,12.7789,0.0602,0.0605202,0.482671,0.059103,2.0931,0.212858,3432.18,15.3373,6.4584,0.174176,17.1083,3.01982,5.86001,0.835984,1.34586,0.00653017
14,Clumpy,15.5822,6.59629,15.5822,6.59629,19.6488,4.15889,18.6924,6.13771,55.4451,18.1089,2.6,0.894427,565.2,181.1,10.3676,14.4654,0.0722637,0.014999,9.43552,3.02099,3942.2,252.711,5.9231,0.412279,21.1469,2.28046,35.0203,26.4621,1.62213,0.0139064
15,Clumpy,14.7429,11.178,14.7429,11.178,25.0093,8.90891,25.0093,8.90891,61.9128,16.4932,2.4,0.894427,560,136.114,14.8576,13.2911,0.0740775,0.0172494,9.3332,2.26849,3784.41,145.752,5.73507,0.446359,16.3273,1.87811,6.65445,10.4383,1.61819,0.016912
16,Clumpy,19.0627,10.5591,19.0627,10.5591,16.0131,9.42149,15.9818,9.45324,47.4654,23.0755,2.8,1.09545,390.4,149.781,18.4304,16.3055,0.105716,0.0258435,6.50602,2.49624,5005.98,1470.37,6.20083,0.361765,16.4314,1.2979,37.5391,39.1796,1.62439,0.0110287
18,Diffuse,43.6655,22.8596,42.2848,25.373,6.71217,2.74947,6.268,2.12132,10.2658,18.8215,1.4,2.19089,133.6,10.8766,0.035,0.0518411,0.45363,0.0396954,2.22698,0.181392,3446.56,2.46982,6.54308,0.235241,14.2097,2.30244,9.65296,1.00224,1.34667,0.00398271
25,Clumpy,15.2625,8.09996,12.4834,9.10669,12.8638,8.33061,12.7444,8.41501,38.3789,28.2776,3.6,2.07364,361.8,127.792,10.4458,13.4393,0.135367,0.0283591,6.02992,2.12982,4605.99,844.412,5.98862,0.450979,13.8702,1.88987,29.9348,23.8144,1.62075,0.0149074
26,Clumpy,19.0114,22.9331,19.0114,22.9331,32.5836,11.0783,32.5836,11.0783,59.7069,34.5622,1.8,1.09545,439,189.999,8.417,6.11045,0.13294,0.0679354,7.33416,3.16086,3837.22,226.294,5.82359,0.797587,17.3535,4.25725,39.4637,35.3952,1.62132,0.012639
39,Clumpy,20.6231,17.6562,20.6231,17.6562,21.265,4.23512,21.265,4.23512,57.4221,24.9447,2.2,1.09545,493,184.95,18.2126,14.8086,0.083689,0.0230187,8.21598,3.08226,4039.67,422.56,5.61258,0.613773,15.2455,1.77049,5.27614,6.68906,1.62897,0.00945467
40,Clumpy,22.9182,20.7649,22.6332,21.0841,14.8321,13.3243,15.2229,12.9554,30.2917,24.7232,3,2.23607,395.6,123.85,11.6874,8.75174,0.125674,0.0415135,6.593,2.06406,5804.38,2226.67,5.97978,0.556936,14.6698,1.88515,42.6012,17.8312,1.62669,0.00979109
41,Clumpy,15.6186,14.0229,15.6186,14.0229,30.0066,18.2541,30.0066,18.2541,61.2108,23.6103,2,1,417.8,99.5776,14.118,14.1073,0.100598,0.0146155,6.98473,1.66654,3776.94,141.62,5.42411,0.778584,21.9222,2.30384,17.6795,10.3996,1.62668,0.0137304
43,Diffuse,59.8512,0.0433901,59.8512,0.0433901,,,,,0,0,0,0,124.6,12.5419,0.0568,0.108077,0.484573,0.0447553,2.07793,0.208881,3798.82,787.535,6.54306,0.259384,9.12362,0.400915,,,1.33864,0.00864695
44,Diffuse,42.6287,23.6,43.2634,22.7394,9.085,4.925,9.085,4.925,12.1484,18.566,1.4,1.94936,129.8,10.5214,0.189,0.248335,0.463688,0.034237,2.16325,0.175336,3440.49,5.3956,6.47486,0.208177,14.4977,2.43857,4.3541,3.3292,1.3459,0.0064258
48,Diffuse,26.68,19.2609,24.27,21.4466,4.40958,2.85629,4.47225,2.77669,10.4325,9.47247,3.2,2.28035,130.6,10.3827,0.343,0.181224,0.457885,0.0336842,2.18335,0.169094,3779.19,529.726,6.5634,0.171813,16.7457,1.56237,8.42679,5.0966,1.34863,0.00717094
53,Diffuse,59.8302,0.0392326,59.8302,0.0392326,,,,,0,0,0,0,125,5.24404,0.1748,0.158162,0.481035,0.0195798,2.08317,0.0873634,6155.83,899.023,6.72802,0.152533,4.87911,1.84742,,,1.33298,0.00513247
54,Diffuse,46.5144,18.2478,46.5144,18.2478,6.7605,0.0473762,6.7605,0.0473762,4.52128,6.19115,0.8,1.09545,121.4,8.98888,0.071,0.0551362,0.495857,0.0388766,2.02324,0.149804,3446.2,7.07291,6.58581,0.30015,10.6573,2.79243,3.39969,2.80789,1.34185,0.00908546
56,Clumpy,12.6385,6.74874,12.1166,7.54043,15.8669,6.13737,16.2083,7.17558,46.3827,19.0926,3.8,1.78885,395.6,150.168,20.0526,13.232,0.0882788,0.0148264,6.59297,2.50266,4163.98,571.953,6.26517,0.318269,13.8603,1.69942,29.2194,17.3413,1.62068,0.0203134
57,Clumpy,12.7803,3.91567,12.7803,3.91567,19.4503,3.16522,19.4503,3.16522,57.2784,13.061,2.8,0.447214,507.8,122.685,9.6752,6.06537,0.0826719,0.0170201,8.46939,2.04667,3841.59,78.1541,5.93897,0.304048,17.7675,1.14969,25.6293,15.8353,1.63294,0.00742805
59,Clumpy,11.474,4.97371,12.1372,5.34643,17.5558,6.18194,16.9479,7.44075,54.3747,18.8408,3.4,1.14018,568.6,256.237,8.5666,5.7372,0.080106,0.0392438,9.48398,4.25961,3829.68,148.891,5.99322,0.303911,19.5467,1.93862,44.7896,17.8128,1.61854,0.0123652
60,Diffuse,57.5926,4.84334,57.5926,4.84334,10.933,,10.933,,3.65267,8.16763,0.2,0.447214,132.2,17.3407,0.2064,0.361568,0.457497,0.0654414,2.20734,0.293857,3589.52,335.203,6.55117,0.19439,11.2158,2.79479,4.24264,,1.34708,0.0126209
61,Diffuse,59.5318,0.6552,59.5318,0.6552,,,,,0,0,0,0,129.4,6.69328,0.2144,0.230307,0.463633,0.0254268,2.1684,0.115879,3543.59,274.556,6.67431,0.143057,12.4444,0.762243,,,1.34393,0.00686936
62,Diffuse,59.8376,0.0320593,59.8376,0.0320593,,,,,0,0,0,0,127.2,8.37854,0.1108,0.195229,0.472007,0.0340396,2.11997,0.139636,3567.65,264.357,6.68508,0.0891423,8.2623,1.36227,,,1.34159,0.0104019
63,Diffuse,45.536,15.8532,45.536,15.8532,14.5993,13.2448,14.5993,13.2448,14.6519,20.5973,0.8,0.83666,112.2,18.7537,0.6744,0.828469,0.542921,0.094508,1.87381,0.314395,3436.43,9.57224,6.19848,0.256004,14.4104,4.19359,6.76782,3.84643,1.34355,0.00715774
71,Clumpy,9.46773,4.8522,9.329,5.11887,24.8087,7.24323,24.8087,7.24323,70.542,6.29121,3,1,610.8,110.114,4.673,4.29453,0.0833363,0.0139717,10.212,1.86502,3742.75,48.7993,5.67837,0.144489,17.0798,1.17283,22.1033,19.7999,1.62971,0.00567553
72,Clumpy,13.1635,7.21879,13.1635,7.21879,25.2649,6.53496,25.2649,6.53496,63.9019,14.2622,2.4,0.894427,580,180.614,11.405,7.34395,0.0737802,0.0124754,9.67617,3.01108,3797.53,133.554,5.88352,0.308995,21.4835,2.39534,70.0428,13.6263,1.62591,0.0135687
73,Clumpy,26.6736,22.2702,26.6736,22.2702,24.1188,7.86765,24.1188,7.86765,36.7061,26.2425,1.75,1.25831,354.75,217.797,22.2068,18.6472,0.0693044,0.0496034,5.91186,3.62952,5768.77,854.098,6.17655,0.332991,17.8702,0.672204,32.4451,36.4208,1.63557,0.00995742
74,Diffuse,43.5088,22.466,42.3077,24.3628,6.877,2.03435,6.877,2.03435,9.18578,13.0274,1.4,1.94936,126.6,3.20936,0.1214,0.189116,0.473484,0.0139663,2.1098,0.0534116,3435.07,18.6803,6.28789,0.252384,13.2111,2.34488,7.06148,3.62727,1.35038,0.00933289
75,Clumpy,9.01709,4.45418,9.3879,4.35819,15.8097,6.12846,14.5528,7.48832,56.9517,15.477,4.4,2.30217,465.8,148.724,4.9588,2.8257,0.11167,0.0290425,8.0119,2.5729,3709.56,177.731,5.84732,0.288368,14.1837,1.29405,19.0565,12.7369,1.62547,0.00665499
80,Diffuse,48.7698,17.7603,48.7698,17.7603,34.7387,26.4805,34.7387,26.4805,34.8164,44.5946,0.4,0.547723,121.6,12.8374,0.1628,0.166579,0.498175,0.0526286,2.0264,0.213934,3794.92,527.643,6.32277,0.332615,16.8944,4.24695,18.6815,,1.34499,0.00600399
