k,group,search_measure,task_measure,n,rho,p
2,All,time_to_first_resource,mean_reading_length_s,94,-0.103479,0.320949
2,All,time_to_first_resource,count_time,130,0.0633734,0.4738
2,All,time_to_first_resource,count_topic,130,0.125272,0.15557
2,All,time_to_first_resource,count_typing,130,0.0138689,0.875552
2,All,time_to_first_resource,PC1,130,0.112991,0.200559
2,All,time_to_first_resource,seq_typing_entropy,130,-0.105034,0.234321
2,All,inter_resource_mean,mean_reading_length_s,94,0.215779,0.0367317
2,All,inter_resource_mean,count_time,130,-0.0272683,0.758112
2,All,inter_resource_mean,count_topic,130,-0.091939,0.298179
2,All,inter_resource_mean,count_typing,130,-0.0522369,0.555028
2,All,inter_resource_mean,PC1,130,-0.0890595,0.313632
2,All,inter_resource_mean,seq_typing_entropy,130,0.113399,0.198928
2,All,pct_time_exploit,mean_reading_length_s,94,-0.154886,0.136069
2,All,pct_time_exploit,count_time,130,0.029837,0.73613
2,All,pct_time_exploit,count_topic,130,0.0135348,0.878527
2,All,pct_time_exploit,count_typing,130,0.0173279,0.844864
2,All,pct_time_exploit,PC1,130,0.0237702,0.788359
2,All,pct_time_exploit,seq_typing_entropy,130,-0.126878,0.150299
2,All,n_transitions,mean_reading_length_s,94,-0.0968879,0.352898
2,All,n_transitions,count_time,130,0.00404019,0.963613
2,All,n_transitions,count_topic,130,-0.0680307,0.441852
2,All,n_transitions,count_typing,130,0.0689654,0.43559
2,All,n_transitions,PC1,130,-0.0399905,0.651457
2,All,n_transitions,seq_typing_entropy,130,-0.0136288,0.87769
2,hunter,time_to_first_resource,mean_reading_length_s,39,-0.0317814,0.847691
2,hunter,time_to_first_resource,count_time,49,0.00676563,0.963201
2,hunter,time_to_first_resource,count_topic,49,0.060307,0.680614
2,hunter,time_to_first_resource,count_typing,49,0.112087,0.443214
2,hunter,time_to_first_resource,PC1,49,0.0787345,0.59075
2,hunter,time_to_first_resource,seq_typing_entropy,49,0.0453942,0.756777
2,hunter,inter_resource_mean,mean_reading_length_s,39,0.0874494,0.59655
2,hunter,inter_resource_mean,count_time,49,-0.011672,0.936557
2,hunter,inter_resource_mean,count_topic,49,-0.00872526,0.952553
2,hunter,inter_resource_mean,count_typing,49,-0.18174,0.21138
2,hunter,inter_resource_mean,PC1,49,-0.0522516,0.721419
2,hunter,inter_resource_mean,seq_typing_entropy,49,0.0266034,0.856016
2,hunter,pct_time_exploit,mean_reading_length_s,39,-0.0789634,0.632772
2,hunter,pct_time_exploit,count_time,49,-0.0696625,0.63434
2,hunter,pct_time_exploit,count_topic,49,-0.100674,0.491278
2,hunter,pct_time_exploit,count_typing,49,0.108877,0.456463
2,hunter,pct_time_exploit,PC1,49,-0.0566288,0.699142
2,hunter,pct_time_exploit,seq_typing_entropy,49,0.057766,0.693394
2,hunter,n_transitions,mean_reading_length_s,39,0.124836,0.448929
2,hunter,n_transitions,count_time,49,-0.125607,0.389807
2,hunter,n_transitions,count_topic,49,-0.232998,0.107149
2,hunter,n_transitions,count_typing,49,0.22675,0.11717
2,hunter,n_transitions,PC1,49,-0.163413,0.261896
2,hunter,n_transitions,seq_typing_entropy,49,0.194643,0.180185
2,busybody,time_to_first_resource,mean_reading_length_s,55,-0.123521,0.368939
2,busybody,time_to_first_resource,count_time,81,0.0775551,0.491337
2,busybody,time_to_first_resource,count_topic,81,0.110814,0.324691
2,busybody,time_to_first_resource,count_typing,81,-0.0516909,0.646741
2,busybody,time_to_first_resource,PC1,81,0.108847,0.333407
2,busybody,time_to_first_resource,seq_typing_entropy,81,-0.153921,0.17008
2,busybody,inter_resource_mean,mean_reading_length_s,55,0.322727,0.0162557
2,busybody,inter_resource_mean,count_time,81,-0.0430331,0.702866
2,busybody,inter_resource_mean,count_topic,81,-0.139175,0.21529
2,busybody,inter_resource_mean,count_typing,81,0.027219,0.809394
2,busybody,inter_resource_mean,PC1,81,-0.134673,0.230651
2,busybody,inter_resource_mean,seq_typing_entropy,81,0.160709,0.151791
2,busybody,pct_time_exploit,mean_reading_length_s,55,-0.193576,0.156758
2,busybody,pct_time_exploit,count_time,81,0.106871,0.342309
2,busybody,pct_time_exploit,count_topic,81,0.107962,0.337374
2,busybody,pct_time_exploit,count_typing,81,-0.0355343,0.752809
2,busybody,pct_time_exploit,PC1,81,0.113293,0.313916
2,busybody,pct_time_exploit,seq_typing_entropy,81,-0.222482,0.0458998
2,busybody,n_transitions,mean_reading_length_s,55,-0.262363,0.052979
2,busybody,n_transitions,count_time,81,0.183211,0.101598
2,busybody,n_transitions,count_topic,81,0.165424,0.139979
2,busybody,n_transitions,count_typing,81,0.0826838,0.463043
2,busybody,n_transitions,PC1,81,0.18659,0.0953371
2,busybody,n_transitions,seq_typing_entropy,81,-0.164132,0.143145
3,All,time_to_first_resource,mean_reading_length_s,94,-0.103479,0.320949
3,All,time_to_first_resource,count_time,130,0.0633734,0.4738
3,All,time_to_first_resource,count_topic,130,0.125272,0.15557
3,All,time_to_first_resource,count_typing,130,0.0138689,0.875552
3,All,time_to_first_resource,PC1,130,0.112991,0.200559
3,All,time_to_first_resource,seq_typing_entropy,130,-0.105034,0.234321
