k,group,measure,n,mean,sd,n_clumpy,n_diffuse,mean_clumpy,mean_diffuse,sd_clumpy,sd_diffuse,cohens_d,t,p
2,All,time_to_first_resource,130,6.04973,6.90227,71,59,10.9312,0.175393,5.87579,0.141851,2.47473,15.4189,3.2257e-24
2,All,inter_resource_mean,130,0.276382,0.197959,71,59,0.100457,0.488089,0.0396013,0.0422808,-9.49211,-53.5556,8.12847e-86
2,All,pct_time_exploit,130,36.1192,25.6641,71,59,53.766,14.8831,16.4354,17.2905,2.31057,13.0543,7.36299e-25
2,All,n_transitions,130,1.97577,1.16275,71,59,2.45423,1.4,0.827679,1.2501,1.01313,5.54578,2.51576e-07
2,hunter,time_to_first_resource,49,5.26632,6.68162,26,23,9.76348,0.182574,6.3941,0.157371,2.05395,7.63774,5.36256e-08
2,hunter,inter_resource_mean,49,0.280129,0.200783,26,23,0.0953049,0.48906,0.0270135,0.0334772,-13.0332,-44.9328,2.49576e-37
2,hunter,pct_time_exploit,49,37.2285,25.7556,26,23,54.7388,17.4342,16.1096,19.5045,2.09817,7.24372,5.84283e-09
2,hunter,n_transitions,49,2.22449,1.23736,26,23,2.73846,1.64348,0.823202,1.38032,0.978483,3.31809,0.00212412
2,busybody,time_to_first_resource,81,6.52365,7.03078,45,36,11.6059,0.170806,5.51588,0.133124,2.77723,13.9019,1.02026e-17
2,busybody,inter_resource_mean,81,0.274116,0.197455,45,36,0.103434,0.487468,0.0453386,0.0475074,-8.29232,-36.8901,3.49026e-49
2,busybody,pct_time_exploit,81,35.4481,25.7458,45,36,53.2039,13.2533,16.775,15.7889,2.44414,11.0052,1.85391e-17
2,busybody,n_transitions,81,1.82531,1.09573,45,36,2.29,1.24444,0.79341,1.1525,1.07894,4.63503,1.98533e-05
3,All,time_to_first_resource,130,6.04973,6.90227,71,59,10.9312,0.175393,5.87579,0.141851,2.47473,15.4189,3.2257e-24
3,All,inter_resource_mean,130,0.276382,0.197959,71,59,0.100457,0.488089,0.0396013,0.0422808,-9.49211,-53.5556,8.12847e-86
3,All,pct_time_exploit,130,36.1192,25.6641,71,59,53.766,14.8831,16.4354,17.2905,2.31057,13.0543,7.36299e-25
3,All,n_transitions,130,1.97577,1.16275,71,59,2.45423,1.4,0.827679,1.2501,1.01313,5.54578,2.51576e-07
3,hunter,time_to_first_resource,40,4.95092,6.12105,20,20,9.70336,0.19847,5.41584,0.162273,2.48086,7.84516,2.21045e-07
3,hunter,inter_resource_mean,40,0.290064,0.205667,20,20,0.088936,0.491193,0.0203386,0.0353075,-13.9614,-44.1498,4.17568e-29
3,hunter,pct_time_exploit,40,37.0391,25.9735,20,20,56.8245,17.2536,11.2574,20.8301,2.3635,7.47405,2.93647e-08
3,hunter,n_transitions,40,2.175,1.25284,20,20,2.83,1.52,0.6752,1.36482,1.21666,3.84743,0.00063816
3,busybody,time_to_first_resource,41,5.19662,6.93981,21,20,9.97814,0.17602,6.86298,0.0964887,1.99427,6.54443,2.22926e-06
3,busybody,inter_resource_mean,41,0.287211,0.194883,21,20,0.101725,0.481971,0.0296136,0.0328472,-12.1754,-38.868,2.85944e-32
3,busybody,pct_time_exploit,41,35.0625,28.7859,21,20,58.0748,10.8996,18.6629,13.3404,2.89621,9.34498,3.44777e-11
3,busybody,n_transitions,41,1.83049,1.17542,21,20,2.37381,1.26,0.933491,1.15001,1.06626,3.39516,0.00166256
3,dancer,time_to_first_resource,49,7.66055,7.29268,30,19,12.417,0.150442,5.25879,0.161136,2.96865,12.7666,1.89471e-13
3,dancer,inter_resource_mean,49,0.256152,0.196536,30,19,0.10725,0.49126,0.0526231,0.0569438,-7.0696,-23.6805,1.29697e-23
3,dancer,pct_time_exploit,49,36.2524,23.017,30,19,48.7108,16.5811,16.8061,17.0456,1.90136,6.46391,1.31235e-07
3,dancer,n_transitions,49,1.93469,1.07423,30,19,2.26,1.42105,0.782833,1.27871,0.837136,2.57093,0.0160604
