participant_id,condition,style_k2,style_k3,topic_concentration,transition_entropy,time_to_first_resource,inter_resource_mean,pct_time_exploit,n_transitions,mean_reading_length_s,count_time,count_topic,count_typing,PC1,seq_typing_entropy
1,diffuse,hunter,hunter,0.513514,0.175612,0.0358,0.504349,45.824,4.2,36.6357,4.5,5.5,5.5,3.12762,0.723828
2,diffuse,hunter,hunter,0.5,0.100343,0.0408,0.501557,10.8603,2.8,83.9536,3,4,2,0.127382,0.591673
4,clumpy,busybody,dancer,0.333333,0.198059,13.3362,0.0811614,60.4583,1.4,35.9443,4,6.5,2,2.67792,0.357
5,diffuse,busybody,busybody,0.272727,0.0824949,0.1976,0.518313,32.847,3,112.217,3,4.5,2,0.553615,0.93156
8,clumpy,hunter,hunter,0.62963,0.106653,20.6948,0.079259,45.6677,2,56.4541,3.5,6.5,4.5,3.24858,0.719472
10,diffuse,busybody,dancer,0.3125,0.172602,0.7036,0.47314,18.8477,0.6,73.0917,4,6,1,1.93954,0.271782
11,diffuse,busybody,busybody,0.375,0.144366,0.3048,0.545897,16.151,2.2,154.474,1,1.5,1,-3.15466,0.944623
13,diffuse,hunter,hunter,0.428571,0.16314,0.0602,0.482671,22.6509,2.2,80.9201,1.5,3.5,1.5,-1.08397,0.863121
14,clumpy,hunter,hunter,0.6,0.167402,10.3676,0.0722637,55.4451,2.6,97.5594,2,2.5,2,-1.57069,0.747658
15,clumpy,busybody,dancer,0.4,0.264949,14.8576,0.0740775,61.9128,2.4,55.8387,3,6.5,2,2.25855,0.660394
16,clumpy,busybody,dancer,0.285714,0.196587,18.4304,0.105717,47.4654,2.8,77.7086,3.5,6,3,2.35414,0.820112
18,diffuse,hunter,hunter,0.636364,0.103764,0.035,0.45363,10.2659,1.4,58.0995,2,5,2,0.560481,0.881291
25,clumpy,busybody,busybody,0.285714,0.060206,10.4458,0.135367,38.3789,3.6,142.897,0,2,0.5,-3.30386,0.405639
26,clumpy,busybody,dancer,0.318182,0.272204,8.417,0.13294,59.7069,1.8,,6.5,7,4.5,4.93292,0.750639
39,clumpy,busybody,dancer,0.176471,0.244709,18.2126,0.0836889,57.4221,2.2,67.1379,2.5,6.5,3,2.361,0.882102
40,clumpy,hunter,hunter,0.545455,0.0921449,11.6874,0.125674,30.2917,3,103.787,0.5,2,1.5,-2.78204,0.985475
41,clumpy,busybody,dancer,0.2,0.240824,14.118,0.100598,61.2108,2,122.648,2.5,3.5,1.5,-0.664605,0.825011
43,diffuse,busybody,dancer,0.333333,0.175764,0.0568,0.484573,0,0,93.6625,2,3.5,3,-0.406081,0.917036
44,diffuse,busybody,busybody,0.307692,0.0940719,0.189,0.463688,12.1484,1.4,90.0206,2.5,4,1.5,-0.238372,0.756571
48,diffuse,busybody,dancer,0.3,0.175699,0.343,0.457885,10.4325,3.2,108,3.5,3,0.5,-0.98361,0.405639
53,diffuse,hunter,hunter,0.461538,0.138217,0.1748,0.481035,0,0,88.5822,5,5,3,2.13072,0.846439
54,diffuse,busybody,dancer,0.25,0.271123,0.071,0.495857,4.52128,0.8,95.5686,2.5,3.5,2.5,-0.352467,0.959148
56,clumpy,busybody,dancer,0.277778,0.187997,20.0526,0.0882788,46.3827,3.8,60.5289,4,8,3,4.26876,0.743066
57,clumpy,busybody,busybody,0.222222,0.100343,9.6752,0.082672,57.2784,2.8,120.734,1.5,2.5,0.5,-2.24858,0.5
59,clumpy,busybody,dancer,0.366667,0.289387,8.5666,0.080106,54.3747,3.4,39.2675,3,7,5,3.6212,0.714686
60,diffuse,hunter,hunter,0.545455,0.238561,0.2064,0.457497,3.65268,0.2,54.1331,5,9,4,5.85273,0.684038
61,diffuse,busybody,busybody,0.272727,0.100343,0.2144,0.463633,0,0,101.2,1,4,2,-0.711354,0.985475
62,diffuse,hunter,hunter,0.416667,0.138889,0.1108,0.472007,0,0,94.9577,2,2.5,1,-1.88283,0.891114
63,diffuse,hunter,hunter,0.454545,0.172159,0.6744,0.54292,14.6519,0.8,82.3936,2.5,7.5,1,2.58919,0.787741
71,clumpy,hunter,hunter,0.428571,0.11928,4.673,0.0833363,70.542,3,113.773,2,4,2,-0.291986,0.970951
72,clumpy,busybody,dancer,0.384615,0.179626,11.405,0.0737802,63.9019,2.4,45.1915,3.5,7.5,2,3.3207,0.491531
74,diffuse,busybody,dancer,0.266667,0.217574,0.1214,0.473484,9.18578,1.4,76.3993,3,4,3,0.43952,0.908777
75,clumpy,hunter,hunter,0.666667,0.248353,4.9588,0.11167,56.9517,4.4,142.855,2.5,0.5,1,-3.37808,0.784159
80,diffuse,busybody,dancer,0.272727,0.175699,0.1628,0.498175,34.8163,0.4,103.77,1.5,3.5,3,-0.615765,0.820112
82,clumpy,busybody,busybody,0.333333,0.150711,8.33,0.0719946,68.7463,3.2,47.8084,3,8,1,3.22511,0.468996
85,diffuse,hunter,hunter,0.714286,0,0.2142,0.448068,0,0,116.97,2,0,1,-4.01399,0.721928
88,clumpy,hunter,hunter,0.545455,0.109812,6.3348,0.132324,64.0063,1.8,57.3656,3,5,4,1.60413,0.918296
