participant_id,condition,n_visits,n_unique_articles,n_edges,clustering,char_path_length,global_efficiency,lcc_fraction,forward_flow,ff_n_dropped_oov_slugs,BH_score
1,diffuse,40,16,23,0.354167,1.2381,0.259306,0.4375,0.0538712,0,3.33682
2,diffuse,9,7,4,0,2,0.305556,0.714286,0.0527768,0,-1.65902
5,diffuse,12,9,3,0,1.66667,0.12037,0.444444,0.0575047,0,-3.03237
10,diffuse,17,12,7,0.277778,1.16667,0.121212,0.333333,0.0663606,0,-0.369547
11,diffuse,11,10,7,0.166667,1.6,0.207407,0.5,0.0628184,0,-0.794802
13,diffuse,15,9,5,0.333333,1,0.152778,0.333333,0.0656049,0,0.243728
18,diffuse,27,15,17,0.335556,1.5,0.24127,0.533333,0.0778891,0,1.76818
43,diffuse,13,12,10,0.375,2.5,0.292677,0.75,0.0524567,0,-0.428575
44,diffuse,14,14,22,0.62619,1.52381,0.31685,0.5,0.0600119,0,4.35511
48,diffuse,11,8,5,0.375,1,0.196429,0.375,0.0578285,0,0.861883
53,diffuse,20,16,20,0.4875,1.7619,0.219444,0.4375,0.0671845,0,2.05615
54,diffuse,23,17,31,0.770588,1.06667,0.258578,0.352941,0.0467091,0,6.44182
60,diffuse,13,9,13,0.555556,1.42857,0.467593,0.777778,0.056319,0,4.59962
61,diffuse,12,10,5,0,2.06667,0.201852,0.6,0.0549812,0,-2.71748
62,diffuse,14,11,17,0.812121,1.26667,0.345455,0.545455,0.0688297,0,5.25553
63,diffuse,23,16,27,0.522569,1.83333,0.382639,0.75,0.0568805,0,4.65674
74,diffuse,16,16,12,0.197917,2.70909,0.225278,0.6875,0.0696888,0,-1.99246
80,diffuse,12,9,6,0.259259,1.7,0.226852,0.555556,0.0602386,0,-0.542397
85,diffuse,8,7,2,0,1,0.0952381,0.285714,0.0697004,0,-2.11654
92,diffuse,11,9,4,0,1,0.111111,0.222222,0.0593469,0,-1.68933
94,diffuse,10,9,6,0.37037,1.16667,0.180556,0.444444,0.0783379,0,0.486621
95,diffuse,11,11,8,0.212121,1.7,0.193939,0.454545,0.0637232,0,-0.808415
96,diffuse,16,10,7,0.533333,1.33333,0.177778,0.4,0.0659561,0,0.936359
97,diffuse,16,12,5,0,1.33333,0.0909091,0.25,0.0586849,0,-2.41609
100,diffuse,12,9,8,0.666667,1.33333,0.236111,0.333333,0.0600183,0,2.2151
102,diffuse,16,10,6,0.216667,1.5,0.188889,0.5,0.060902,0,-0.714631
103,diffuse,5,5,0,0,0,0,0.2,0.0640859,0,-1.39735
104,diffuse,23,18,31,0.8,1.19048,0.228758,0.388889,0.0710499,0,6.01578
109,diffuse,9,9,2,0,1,0.0555556,0.222222,0.0689058,0,-2.52229
114,diffuse,11,11,9,0.212121,2.78571,0.283636,0.727273,0.347187,0,-1.88453
122,diffuse,26,17,14,0.158824,2.52727,0.224632,0.647059,0.0510731,0,-1.53938
123,diffuse,12,8,4,0,1.33333,0.160714,0.375,0.0638549,0,-1.83477
126,diffuse,15,12,14,0.583333,1.3,0.257576,0.416667,0.0610958,0,2.9509
128,diffuse,6,5,0,0,0,0,0.2,0.0594259,0,-1.39735
131,diffuse,9,9,1,0,1,0.0277778,0.222222,0.0644061,0,-2.93877
133,diffuse,10,7,1,0,1,0.047619,0.285714,0.055925,0,-2.7359
135,diffuse,11,8,10,0.625,1,0.357143,0.625,0.0616579,0,4.19838
137,diffuse,9,9,1,0,1,0.0277778,0.222222,0.0599994,0,-2.93877
140,diffuse,10,7,2,0,1.33333,0.119048,0.428571,0.0587339,0,-2.52571
144,diffuse,7,6,1,0,1,0.0666667,0.333333,0.0592379,0,-2.54113
147,diffuse,31,20,21,0.225,1.64286,0.15307,0.4,0.0598106,0,0.660527
149,diffuse,11,8,3,0,1.33333,0.125,0.375,0.0587424,0,-2.3324
154,diffuse,18,13,16,0.394872,1.64286,0.277778,0.615385,0.0621321,0,1.97393
156,diffuse,16,13,5,0,1.8,0.0982906,0.384615,0.0559913,0,-3.2543
157,diffuse,9,8,1,0,1,0.0357143,0.25,0.0578754,0,-2.85762
160,diffuse,13,8,7,0.4375,1.3,0.303571,0.625,0.0517135,0,1.89269
162,diffuse,20,15,9,0.155556,1.33333,0.1,0.266667,0.0702497,0,-1.15187
166,diffuse,15,11,7,0.545455,1,0.127273,0.272727,0.22181,0,1.12256
176,diffuse,12,10,6,0.233333,1.7,0.181481,0.5,0.0537455,0,-1.11323
183,diffuse,11,8,5,0.375,1.33333,0.196429,0.375,0.0655541,0,0.209248
195,diffuse,22,16,11,0.145833,2.28571,0.147917,0.4375,0.0819378,0,-2.30178
197,diffuse,9,7,2,0,1,0.0952381,0.285714,0.0680287,0,-2.11654
200,diffuse,12,10,6,0.233333,1.33333,0.166667,0.4,0.0634476,0,-0.546811
201,diffuse,28,19,20,0.350877,1.61905,0.175439,0.368421,0.0743009,0,1.32249
203,diffuse,18,13,10,0.269231,1.3,0.16453,0.384615,0.061401,0,0.174433
205,diffuse,7,6,1,0,1,0.0666667,0.333333,0.0775584,0,-2.54113
206,diffuse,13,8,4,0,1.33333,0.178571,0.375,0.05457,0,-1.65218
208,diffuse,8,8,6,0.5,1,0.214286,0.5,0.064871,0,1.69239
210,diffuse,11,9,10,0.481481,1.2,0.319444,0.555556,0.0834463,0,2.8295
212,diffuse,6,6,3,0.5,1,0.2,0.5,0.0568113,0,1.14896
