axis,feature,rho,p,n,p_FDR,fdr_significant
BH_score,explore_dur_mean_mean,0.0616047,0.640075,60,0.908222,False
BH_score,explore_dur_mean_sd,-0.121429,0.355368,60,0.807745,False
BH_score,explore_dur_median_mean,0.0730254,0.579241,60,0.908222,False
BH_score,explore_dur_median_sd,-0.164499,0.209124,60,0.807745,False
BH_score,exploit_dur_mean_mean,0.31982,0.0250815,49,0.59638,False
BH_score,exploit_dur_mean_sd,0.312397,0.0496984,40,0.59638,False
BH_score,exploit_dur_median_mean,0.325892,0.022305,49,0.59638,False
BH_score,exploit_dur_median_sd,0.314086,0.0484125,40,0.59638,False
BH_score,pct_time_exploit_mean,0.00557447,0.966282,60,0.966282,False
BH_score,pct_time_exploit_sd,-0.00727469,0.956007,60,0.966282,False
BH_score,n_transitions_mean,-0.130726,0.319456,60,0.807745,False
BH_score,n_transitions_sd,-0.158323,0.22697,60,0.807745,False
BH_score,total_collected_mean,-0.0390874,0.766838,60,0.908222,False
BH_score,total_collected_sd,0.154363,0.23895,60,0.807745,False
BH_score,time_to_first_resource_mean,-0.15975,0.222755,60,0.807745,False
BH_score,time_to_first_resource_sd,-0.154663,0.23803,60,0.807745,False
BH_score,inter_resource_mean_mean,0.0581861,0.658778,60,0.908222,False
BH_score,inter_resource_mean_sd,0.126098,0.337035,60,0.807745,False
BH_score,collection_rate_mean,-0.0390964,0.766786,60,0.908222,False
BH_score,collection_rate_sd,0.152634,0.244316,60,0.807745,False
BH_score,path_length_mean,-0.0306491,0.816175,60,0.908222,False
BH_score,path_length_sd,-0.0623819,0.635853,60,0.908222,False
BH_score,coverage_entropy_mean,0.0659664,0.616532,60,0.908222,False
BH_score,coverage_entropy_sd,-0.0349005,0.791216,60,0.908222,False
BH_score,heading_variability_mean,-0.0444593,0.735889,60,0.908222,False
BH_score,heading_variability_sd,0.0669668,0.611186,60,0.908222,False
BH_score,patch_leaving_distance_mean,-0.308536,0.0328748,48,0.59638,False
BH_score,patch_leaving_distance_sd,-0.221445,0.187775,37,0.807745,False
BH_score,levy_alpha_mean,-0.0909748,0.489377,60,0.838933,False
BH_score,levy_alpha_sd,-0.0133934,0.919101,60,0.950794,False
forward_flow,explore_dur_mean_mean,0.0943331,0.473417,60,0.836145,False
forward_flow,explore_dur_mean_sd,-0.124868,0.341805,60,0.807745,False
forward_flow,explore_dur_median_mean,0.103614,0.430797,60,0.807745,False
forward_flow,explore_dur_median_sd,-0.135093,0.303413,60,0.807745,False
forward_flow,exploit_dur_mean_mean,-0.138878,0.341265,49,0.807745,False
forward_flow,exploit_dur_mean_sd,-0.05197,0.750121,40,0.908222,False
forward_flow,exploit_dur_median_mean,-0.157041,0.281207,49,0.807745,False
forward_flow,exploit_dur_median_sd,-0.0470919,0.772925,40,0.908222,False
forward_flow,pct_time_exploit_mean,-0.108139,0.41083,60,0.807745,False
forward_flow,pct_time_exploit_sd,-0.111093,0.398088,60,0.807745,False
forward_flow,n_transitions_mean,-0.0600093,0.648777,60,0.908222,False
forward_flow,n_transitions_sd,-0.0300686,0.819598,60,0.908222,False
forward_flow,total_collected_mean,0.139612,0.287374,60,0.807745,False
forward_flow,total_collected_sd,-0.11751,0.371224,60,0.807745,False
forward_flow,time_to_first_resource_mean,-0.0227844,0.862811,60,0.908222,False
forward_flow,time_to_first_resource_sd,0.0537927,0.683122,60,0.908222,False
forward_flow,inter_resource_mean_mean,-0.129981,0.322246,60,0.807745,False
forward_flow,inter_resource_mean_sd,-0.0942484,0.473816,60,0.836145,False
forward_flow,collection_rate_mean,0.13476,0.304619,60,0.807745,False
forward_flow,collection_rate_sd,-0.119144,0.364561,60,0.807745,False
forward_flow,path_length_mean,-0.024229,0.854205,60,0.908222,False
forward_flow,path_length_sd,-0.0646846,0.623412,60,0.908222,False
forward_flow,coverage_entropy_mean,0.173215,0.185662,60,0.807745,False
forward_flow,coverage_entropy_sd,-0.116255,0.376391,60,0.807745,False
forward_flow,heading_variability_mean,-0.104473,0.426961,60,0.807745,False
forward_flow,heading_variability_sd,0.0372326,0.777611,60,0.908222,False
forward_flow,patch_leaving_distance_mean,0.12386,0.401612,48,0.807745,False
forward_flow,patch_leaving_distance_sd,-0.0559507,0.742223,37,0.908222,False
forward_flow,levy_alpha_mean,-0.0266185,0.840007,60,0.908222,False
forward_flow,levy_alpha_sd,-0.168047,0.199334,60,0.807745,False
