,Verbal Fluency - Number of Answers,Verbal Fluency - Forward Flow,AUT Broom - Number of Answers,AUT Belt - Number of Answers,AUT Belt - Originality,AUT Broom - Originality,AQT Pencil - Number of Answers,AQT Pillow - Number of Answers,AQT Pencil - Originality,AQT Pillow - Originality,AQT Complexity Score,Curiosity - Score,GF - Score,total_pages_visited,total_searches,topic_familiarity,n_pages,n_unique_pages,n_searches,revisit_rate,search_vs_link_ratio,mean_dwell,var_dwell,mean_step_distance,var_step_distance,forward_flow,dyn_slope,dyn_early_late_delta,dyn_n_steps,n_unique,n_edges,clustering,char_path_length,global_efficiency,lcc_fraction,path_breadth,bh_score
Verbal Fluency - Number of Answers,1.0,0.9701004782257154,0.5391103498963369,0.3917300644240304,0.17497387205515058,0.1324309396457375,0.45505629659382,0.3977817091238271,0.0907443657789109,0.033486191703206686,-0.11166995049896943,-0.0016266685899787067,0.3613544586219728,0.06804240848085974,0.1034097328822664,-0.23602946745414435,0.07039320177267343,0.11031731563436206,0.1034097328822664,-0.05249323400147132,-0.002590329611163742,-0.04845014778187749,-0.15807641159713873,-0.010974498081490473,0.13231653817115216,0.04187146857064009,-0.1850800911002581,-0.24968789409266015,0.051297047709567195,0.10821533031835931,0.2096017437103616,0.1669201557976799,0.23041933012185867,0.1916669650872515,0.24717156932729084,0.09191275627705008,0.15461602818218198
Verbal Fluency - Forward Flow,0.9701004782257154,1.0,0.48769675114123734,0.33504386575981304,0.16453298563543892,0.11415639221376604,0.45174276786683143,0.3802476587297958,0.06976977800376055,0.028601951637989544,-0.11182625051431258,0.039885611802201015,0.3319104217533311,0.0718970440621262,0.09683392162247959,-0.24525659265251412,0.07376739194870893,0.11443699704444017,0.09683392162247959,-0.05488246367393706,-0.013216063110995846,-0.05205266431681526,-0.14597480710090174,-0.014521452145214522,0.15751174325702919,0.03762376237623762,-0.1965672990063234,-0.2738256549232159,0.05977391536846407,0.11145692882547546,0.21885387237267195,0.16759952131049172,0.24271449181494123,0.17813453946396277,0.2363118561428893,0.10622961363853017,0.1604684344831648
AUT Broom - Number of Answers,0.5391103498963369,0.48769675114123734,1.0,0.7317031122353731,0.1795812530367819,0.07827596942921557,0.48342200387748563,0.5253839136846594,0.08075130796452067,-0.012132247103738213,-0.08183748016380311,-0.04515404791414302,0.23086836227479401,0.10061929069607542,0.06945451616496402,-0.06642561457615088,0.09945583805446007,0.1417334785741138,0.06945451616496402,-0.01606568439671995,-0.11188587073240343,-0.11182082970749666,0.050985846497408706,0.10814754047182229,0.18435766739556056,0.15339010666049768,-0.31108234005638835,-0.31699895741006917,0.08803515582423788,0.14813845684040822,0.2077043305462118,0.1005309810219736,0.23363884860309453,0.2400902318225787,0.09775114202678471,0.09630561635597068,0.11950946334250502
AUT Belt - Number of Answers,0.3917300644240304,0.33504386575981304,0.7317031122353731,1.0,0.08896833363105108,0.21121926678123934,0.36442542443467485,0.47341973976357465,0.07180940337423232,-0.004274364175937138,-0.019267221905981145,0.0866339216050656,0.10519403913552543,0.12064778426342106,0.15263945361728934,-0.0016837302220150071,0.10583829195407232,0.14250774432129387,0.15263945361728934,-0.020779824757845993,0.006400230260455532,-0.11418116257632015,0.004681954419741303,0.2208795183291544,0.2563493281057708,0.2662485427223523,-0.2951193824510748,-0.2840372363492577,0.11051382349691995,0.1591616192823257,0.1760889798191427,0.09528530986116382,0.19025110766785466,0.15105674023923413,0.0425724296192605,0.09110075117556245,0.05793256487610096
AUT Belt - Originality,0.17497387205515058,0.16453298563543892,0.1795812530367819,0.08896833363105108,1.0,0.35586594895729085,0.054797252426638195,0.13048175004002222,0.33992087425403494,0.30118422880036905,0.1169307050652025,-0.16071675356776383,0.22506343796749037,0.15126622028907352,0.12495128828528441,-0.14724882370384682,0.1504320120754991,0.20438850428939837,0.12495128828528441,-0.08675172097662913,0.012422056149299499,-0.13944208435513833,-0.15595375688583876,0.0977872249543381,0.1211467411561079,0.12497271046367416,-0.16865255115171518,-0.20591602302490647,0.15075812716315637,0.21443749895225367,0.09288056827717207,0.01943248107063063,0.08842887219676265,-0.04929257879734767,-0.056826462686871235,0.17165224034050183,0.0812557679710092
AUT Broom - Originality,0.1324309396457375,0.11415639221376604,0.07827596942921557,0.21121926678123934,0.35586594895729085,1.0,0.051130425202950545,0.02426466418296548,0.4302140728793814,0.3527765060762596,0.303138517823742,-0.024683552740443527,0.0727587555657009,0.1804835443673763,-0.017087130885897608,-0.012044511067023252,0.1709058676825033,0.11819860378510198,-0.017087130885897608,0.09368946674726812,-0.1743453359503711,-0.1542245748861148,-0.15069182000505668,0.0643792665527451,0.26905470675724413,0.10482034385503344,-0.007837424320623567,-0.07328104670969211,0.13968765140203707,0.0938508168978661,0.048158403369528674,0.09546549250438179,0.01899044514378669,-0.03573624520530144,-0.03905617093252083,0.04170934902988975,0.03719121738372636
AQT Pencil - Number of Answers,0.45505629659382,0.45174276786683143,0.48342200387748563,0.36442542443467485,0.054797252426638195,0.051130425202950545,1.0,0.6813569025545166,-0.1667057163774714,-0.222881714436239,-0.2387129255413747,0.05088188728355969,0.04822067541019389,0.17073277275904516,0.2275590067737824,-0.058663371576865166,0.16940372504964257,0.171084607322132,0.2275590067737824,0.09863707842105483,0.006755330408451739,-0.124221535565232,-0.0196526211109069,0.0852910118588237,0.2335344965328362,0.09813968619598523,-0.030779428428073546,-0.013414046129585883,0.16000271384200912,0.17373105096196606,0.16774253099086978,0.0647084262984698,0.21376705305611193,0.07384886875263624,0.07619648031175806,0.17806961075821323,0.023322436898992025
AQT Pillow - Number of Answers,0.3977817091238271,0.3802476587297958,0.5253839136846594,0.47341973976357465,0.13048175004002222,0.02426466418296548,0.6813569025545166,1.0,-0.022066420851683078,-0.11024956470902447,-0.1083868748345097,0.0428866339858729,0.13329723668033003,0.14350046354942664,0.18563591676357877,0.040405014733933854,0.13040017819797697,0.13615009556708066,0.18563591676357877,0.09974565579553332,0.06031928783715887,-0.1095460244954841,-0.006687946781165739,0.02222455667867704,0.13771501621326906,0.07183963938921299,-0.030433592356526113,0.015683778695709753,0.11322746442202228,0.1278784441722035,0.11516167376159726,0.023359024414232436,0.11651681233345246,0.08149263289937053,0.002965634503223287,0.061080256046892115,0.04858165786117896
AQT Pencil - Originality,0.0907443657789109,0.06976977800376055,0.08075130796452067,0.07180940337423232,0.33992087425403494,0.4302140728793814,-0.1667057163774714,-0.022066420851683078,1.0,0.6227664578298485,0.43262455169850433,0.02044400729032252,0.14104695727159142,-0.11933724215126727,-0.010583088922988074,-0.042305447690935784,-0.11546526126853694,-0.07200070472388911,-0.010583088922988074,-0.12922639888979065,0.13972627782753821,0.08793499058998133,-0.10744883587314127,-0.008653955862735608,-0.00018015964715696375,0.06009158117446023,-0.2158575664535444,-0.27213435469390496,-0.1283561265029391,-0.09093465213847902,-0.1635278092292005,-0.12844331500268705,-0.1331869024486538,-0.07584918814936138,0.0008894272601146868,-0.1420179910836983,-0.06488089326606891
AQT Pillow - Originality,0.033486191703206686,0.028601951637989544,-0.012132247103738213,-0.004274364175937138,0.30118422880036905,0.3527765060762596,-0.222881714436239,-0.11024956470902447,0.6227664578298485,1.0,0.4029166400758224,-0.08896605868958614,0.08128145349923763,-0.05406982338997712,-0.056734216855112825,-0.012122922896387108,-0.05914471188542194,-0.04977226686847263,-0.056734216855112825,-0.0887647051941364,0.0909558887442796,0.005927720335010189,-0.12010276797341299,-0.06108834613982084,-0.11005989846251445,0.01701640747576419,-0.2473359107556973,-0.2639242278340607,-0.09300825853111731,-0.08289826302585239,-0.1828897094349095,-0.1692526050423724,-0.15128256883875948,-0.13073658111669112,-0.1242523378204523,-0.10445519294269533,-0.06979427651500257
