measure,feature,n,rho,p,p_FDR,fdr_significant
AUT Broom - Number of Answers,dyn_early_late_delta,81,-0.3169989574100691,0.003933975032037835,0.060590115636559944,False
AUT Broom - Number of Answers,dyn_slope,81,-0.31108234005638835,0.00470269654527687,0.060590115636559944,False
AUT Belt - Number of Answers,dyn_slope,81,-0.2951193824510747,0.007480862124448506,0.060590115636559944,False
AUT Belt - Number of Answers,dyn_early_late_delta,81,-0.28403723634925765,0.010176793381504786,0.060590115636559944,False
Verbal Fluency - Forward Flow,dyn_early_late_delta,81,-0.27382565492321587,0.013375895137759483,0.060590115636559944,False
AQT Pencil - Originality,dyn_early_late_delta,81,-0.27213435469390496,0.01398233437766768,0.060590115636559944,False
AQT Pillow - Originality,dyn_early_late_delta,80,-0.2639242278340607,0.01800255190518013,0.06686662136209763,False
Verbal Fluency - Number of Answers,dyn_early_late_delta,81,-0.24968789409266012,0.024576368012730145,0.07792140758121785,False
AQT Pillow - Originality,dyn_slope,80,-0.24733591075569733,0.02697279493196002,0.07792140758121785,False
AQT Pencil - Originality,dyn_slope,81,-0.21585756645354442,0.05294054196647377,0.1376454091128318,False
AUT Belt - Originality,dyn_early_late_delta,81,-0.20591602302490647,0.06514565274584141,0.1539806337628979,False
Verbal Fluency - Forward Flow,dyn_slope,81,-0.1965672990063234,0.0786095032890362,0.1703205904595784,False
Verbal Fluency - Number of Answers,dyn_slope,81,-0.18508009110025814,0.09809594394688469,0.19619188789376937,False
AUT Belt - Originality,dyn_slope,81,-0.1686525511517152,0.1323022989244935,0.2457042694312022,False
AQT Complexity Score,dyn_early_late_delta,81,-0.13685636856368563,0.22310809578817514,0.3867206993661702,False
Curiosity - Score,dyn_slope,81,0.09622466111832181,0.3928020397296312,0.6383033145606507,False
AQT Complexity Score,dyn_slope,81,-0.08728545618789521,0.43843441964791985,0.6705467594615244,False
AUT Broom - Originality,dyn_early_late_delta,81,-0.07328104670969211,0.5155930994903928,0.7447455881527896,False
GF - Score,dyn_early_late_delta,81,-0.05697301026079199,0.6134197333954363,0.8394164772779655,False
Curiosity - Score,dyn_early_late_delta,81,0.04666295933968042,0.679119734013043,0.882855654216956,False
AQT Pencil - Number of Answers,dyn_slope,81,-0.030779428428073543,0.7850270334430646,0.9305461755746038,False
AQT Pillow - Number of Answers,dyn_slope,81,-0.03043359235652611,0.7873852254862033,0.9305461755746038,False
GF - Score,dyn_slope,81,-0.02427905522009538,0.8296527861195613,0.937868366917765,False
AQT Pillow - Number of Answers,dyn_early_late_delta,81,0.015683778695709753,0.8894749633076099,0.9416055882068162,False
AQT Pencil - Number of Answers,dyn_early_late_delta,81,-0.013414046129585881,0.9053899886604001,0.9416055882068162,False
AUT Broom - Originality,dyn_slope,81,-0.007837424320623567,0.9446381740116734,0.9446381740116734,False
