participant_id,n_pages,n_unique_pages,n_searches,revisit_rate,search_vs_link_ratio,mean_dwell,var_dwell,mean_step_distance,var_step_distance,forward_flow,n_unique,n_edges,clustering,char_path_length,global_efficiency,lcc_fraction,path_breadth,bh_score
2933,2,2,1,0.0,0.5,424579.5,132561892190.25,0.026263001126097696,0.0,0.026263001126097696,2,1,0.0,1.0,1.0,1.0,9,0.4346039052222589
2934,1,1,1,0.0,1.0,747832.0,0.0,,,,1,0,0.0,0.0,0.0,1.0,4,-1.3406828719802135
2941,0,0,0,,,,,,,,0,0,0.0,0.0,0.0,0.0,0,-1.3406828719802135
2952,10,9,6,0.1,0.6,93581.9,9663441615.289997,0.03814562273819855,0.00022446772749928095,0.040079625312813394,8,11,0.4666666666666667,1.8214285714285714,0.6607142857142855,1.0,47,2.036666690529628
206134967,10,10,7,0.0,0.7,79632.0,5475980368.8,0.027594248413919664,0.00015762085265585556,0.0285738320323882,10,16,0.6333333333333333,1.5,0.48148148148148145,0.8,64,3.6899111140629333
206502106,2,1,3,0.5,1.5,374410.0,116916808761.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1.0,3,-1.3406828719802135
206535445,2,2,2,0.0,1.0,451457.0,178376988409.0,0.028333299857320693,0.0,0.028333299857320693,2,0,0.0,0.0,0.0,0.5,14,-1.3406828719802135
206560807,5,5,4,0.0,0.8,173815.6,23418878402.239998,0.025470910995729734,7.965610952864415e-05,0.02465049895234753,5,6,0.6,1.4,0.8,1.0,38,2.406825220259182
206692196,4,3,7,0.25,1.75,217963.75,48559906789.1875,0.041017303026463815,0.0001722947599680335,0.031964701387535356,3,1,0.0,1.0,0.3333333333333333,0.6666666666666666,13,-1.6051889926515677
206693830,7,6,8,0.14285714285714285,1.1428571428571428,111428.0,8848446784.571428,0.04536884984427719,0.001520680326975863,0.05465005519246847,6,2,0.0,1.3333333333333333,0.16666666666666666,0.5,45,-2.3902308178065166
206712465,5,4,9,0.2,1.8,151930.0,55786907016.8,0.09215351941114636,0.004877334369928693,0.10766601707501913,4,1,0.0,1.0,0.16666666666666666,0.5,47,-2.115137217120024
206941528,13,11,9,0.15384615384615385,0.6923076923076923,75745.38461538461,15025660507.775146,0.03360473685789451,0.0006245155072655725,0.03569385924720725,11,13,0.4606060606060606,1.8611111111111112,0.42272727272727273,0.8181818181818182,51,1.6869185568966785
206941908,9,8,5,0.1111111111111111,0.5555555555555556,88925.11111111111,5055828374.987654,0.0690226932532658,0.0016921993991872405,0.07436188064592553,8,7,0.375,1.4,0.32142857142857145,0.625,37,0.4063786472655189
207034471,6,6,6,0.0,1.0,140683.66666666666,16540221262.555557,0.032140947551310306,0.0003408988601189719,0.04929693809526804,5,3,0.6,1.0,0.3,0.6,166,0.7938832768836922
207431370,12,8,9,0.3333333333333333,0.75,91239.25,21011982638.354168,0.04308321593957299,0.0014593766228426111,0.043108010436391425,8,8,0.4125,1.4666666666666666,0.4107142857142857,0.75,35,0.9358164421501338
207432196,14,14,6,0.0,0.42857142857142855,58835.07142857143,12411353722.352041,0.05433393821980347,0.0007212772558652234,0.07518783870095816,14,15,0.3976190476190476,1.9166666666666667,0.26739926739926745,0.6428571428571429,65,1.3723162829547872
207583204,2,2,2,0.0,1.0,408813.5,25075830962.25,0.018389649630674132,0.0,0.018389649630674132,2,1,0.0,1.0,1.0,1.0,20,0.4346039052222589
207730854,6,6,2,0.0,0.3333333333333333,175881.16666666666,132716136410.47223,0.07107398861349554,0.0015541491588457507,0.07355428010503703,5,4,0.0,1.3333333333333333,0.5,0.8,17,-0.9112126013208139
207747361,8,8,8,0.0,1.0,102134.375,11574090678.734375,0.10503113308228917,0.004424594102116915,0.10170978531732647,8,5,0.2708333333333333,1.5,0.26785714285714285,0.625,27,-0.7225548926372198
207805821,8,8,9,0.0,1.125,99760.875,18687181367.609375,0.06889257318942513,0.00179397380153395,0.06540880808383065,8,8,0.0,2.25,0.5654761904761904,1.0,47,-1.1804320960209251
207852096,6,5,1,0.16666666666666666,0.16666666666666666,181524.33333333334,35980701444.22222,0.012943467498821914,1.3177500492962354e-05,0.01532014681586906,5,5,0.3333333333333333,1.6,0.7333333333333333,1.0,26,0.7629634018519105
208152439,11,9,9,0.18181818181818182,0.8181818181818182,71959.27272727272,6955251944.743802,0.04618771246793243,0.0015300052334649126,0.04539772966906793,9,4,0.0,1.3333333333333333,0.1388888888888889,0.3333333333333333,22,-2.01610042100247
208245035,6,6,8,0.0,1.3333333333333333,153143.0,89979037214.66667,0.08781168324127347,0.0011305382902375358,0.10812372035283463,5,1,0.0,1.0,0.1,0.4,10,-2.319116506907407
208302661,4,4,4,0.0,1.0,227572.75,15013688870.1875,0.02486336644394338,5.862991283967672e-05,0.022307394648927985,4,6,1.0,1.0,1.0,1.0,20,4.985641902227836
208324392,1,1,4,0.0,4.0,685187.0,0.0,,,,1,0,0.0,0.0,0.0,1.0,4,-1.3406828719802135
208912675,3,3,2,0.0,0.6666666666666666,375061.3333333333,153699191950.8889,0.0862509936064535,9.659506680165503e-05,0.07161480615700491,3,2,0.0,1.3333333333333333,0.8333333333333334,1.0,11,-0.3504379199326903
208944017,12,7,5,0.4166666666666667,0.4166666666666667,61334.0,6393158647.833333,0.044732508137676694,0.0004210832938415727,0.05592622826517067,7,4,0.0,1.6666666666666667,0.25396825396825395,0.5714285714285714,45,-2.1686477980922807
209232008,11,6,7,0.45454545454545453,0.6363636363636364,67317.63636363637,4477364612.231405,0.04184886013035134,0.0008172280666901826,0.045748701065303196,6,6,0.5,1.4,0.5333333333333333,0.8333333333333334,15,1.250584703296291
209363712,5,5,1,0.0,0.2,177278.2,18583047148.16,0.05572524672678891,0.0007929269476696131,0.06008850923011666,4,4,0.5833333333333334,1.3333333333333333,0.8333333333333334,1.0,14,2.093903434860701
209434950,6,6,11,0.0,1.8333333333333333,141683.66666666666,8172899197.222222,0.06633782173217957,0.0013070828503485873,0.06700152329276324,6,3,0.0,1.6666666666666667,0.28888888888888886,0.6666666666666666,45,-2.2913623872161417
209515154,6,5,12,0.16666666666666666,2.0,155179.66666666666,28132067458.55556,0.02550065150793246,0.00012812641481232094,0.017743116013028814,5,5,0.4666666666666667,1.7,0.7166666666666667,1.0,17,1.0143367111512793
209639855,4,4,7,0.0,1.75,191158.0,28275322306.5,0.08185239793793637,0.000261647789642829,0.07875867401631553,4,2,0.0,1.3333333333333333,0.4166666666666667,0.75,20,-1.6253084811038319
209712041,1,1,2,0.0,2.0,726744.0,0.0,,,,1,0,0.0,0.0,0.0,1.0,9,-1.3406828719802135
209877109,8,8,11,0.0,1.375,103519.0,18173239736.25,0.05827426101835921,0.0007687631476230842,0.0675976543737573,8,6,0.20833333333333331,1.9333333333333333,0.3482142857142857,0.75,24,-1.1158790433551802
211545348,12,11,8,0.08333333333333333,0.6666666666666666,66896.66666666667,4182497055.7222214,0.038871505809182395,0.0009246048153940022,0.07033963089663882,10,14,0.38666666666666666,1.8055555555555556,0.5296296296296299,0.9,25,2.076043495776263
211623251,1,1,1,0.0,1.0,871252.0,0.0,,,,1,0,0.0,0.0,0.0,1.0,5,-1.3406828719802135
211644240,3,3,2,0.0,0.6666666666666666,242179.0,93394923652.66667,0.03195569764666045,0.00010893038288080996,0.03084125719451203,3,1,0.0,1.0,0.3333333333333333,0.6666666666666666,13,-1.6051889926515677
211668991,7,5,5,0.2857142857142857,0.7142857142857143,121656.57142857143,43281554269.38776,0.03266959594097888,0.0009952151943732816,0.024025988860922987,5,3,0.0,1.5,0.45,0.8,12,-1.5460851946661895
211877428,4,4,5,0.0,1.25,246748.5,54825448258.25,0.06939093226179421,3.275637506161859e-05,0.06347641579931068,3,1,0.0,1.0,0.3333333333333333,0.6666666666666666,14,-1.6051889926515677
211921192,8,6,3,0.25,0.375,153363.25,61521642511.6875,0.018975694640865664,2.1576250268717772e-05,0.020376510769573444,6,13,0.9,1.1333333333333333,0.9333333333333333,1.0,26,5.846403647263502
212175665,5,5,6,0.0,1.2,169864.4,36574995993.03999,0.032521142914069934,3.7616066263802524e-05,0.02569272448805933,4,3,0.0,1.5,0.75,1.0,18,-0.6281783906229677
212232631,3,2,4,0.3333333333333333,1.3333333333333333,215751.33333333334,77430497094.22221,0.013436536879683825,0.00018054052331910352,0.02015480531952568,2,1,0.0,1.0,1.0,1.0,13,0.4346039052222589
212584338,3,3,4,0.0,1.3333333333333333,292997.0,51553776672.666664,0.1066836356936996,3.5161782650959326e-06,0.08401343110608697,3,0,0.0,0.0,0.0,0.3333333333333333,12,-1.3406828719802135
212753198,6,6,8,0.0,1.3333333333333333,135379.66666666666,30403766820.22223,0.04111631781985452,0.0001948660800296086,0.03756636191289167,6,6,0.25,1.7333333333333334,0.6777777777777777,1.0,38,0.3370769521746646
213008402,3,3,4,0.0,1.3333333333333333,312115.6666666667,69473788710.22223,0.044084874373636396,3.764925527233453e-05,0.04324742605158374,3,0,0.0,0.0,0.0,0.3333333333333333,7,-1.3406828719802135
213354301,7,4,2,0.42857142857142855,0.2857142857142857,135804.0,26581633616.857143,0.015139193239724976,0.00030919050133061286,0.013440147162478898,4,5,0.8333333333333333,1.1666666666666667,0.9166666666666666,1.0,27,3.681574067633168
213763063,6,6,3,0.0,0.5,133782.0,17286518111.333332,0.026518463439897055,7.657473661242141e-05,0.031657205555296476,5,2,0.0,1.0,0.2,0.4,21,-1.7835866884519378
213817539,1,1,1,0.0,1.0,761876.0,0.0,,,,1,0,0.0,0.0,0.0,1.0,2,-1.3406828719802135
213932338,9,6,13,0.3333333333333333,1.4444444444444444,86768.11111111111,12347809589.876543,0.07622954555822839,0.0011611261060573944,0.060689066863626566,5,3,0.0,1.3333333333333333,0.35,0.6,31,-1.5997268871168198
214575375,8,7,17,0.125,2.125,112950.5,9530734993.0,0.009115467540229608,1.8057424988830027e-05,0.012607075720614322,6,5,0.0,1.9333333333333333,0.6222222222222222,1.0,15,-1.2160677582991486
214578338,2,2,4,0.0,2.0,352996.5,17645004390.25,0.027148211930515087,0.0,0.027148211930515087,2,1,0.0,1.0,1.0,1.0,10,0.4346039052222589
214694564,6,5,7,0.16666666666666666,1.1666666666666667,158784.0,18617372949.666668,0.04821734463905829,0.000880046893770479,0.05717387782119071,5,3,0.6,1.0,0.3,0.6,51,0.7938832768836922
214945065,7,7,12,0.0,1.7142857142857142,132647.14285714287,22200072505.55102,0.07167752298432542,0.00030078246403934285,0.07503782284099429,6,2,0.0,1.0,0.13333333333333333,0.3333333333333333,17,-1.9875659782393207
215008087,13,11,4,0.15384615384615385,0.3076923076923077,57721.692307692305,3942481512.5207095,0.050926425103237825,0.00115999088522365,0.07096528249837687,11,13,0.18484848484848485,2.111111111111111,0.4772727272727274,0.9090909090909091,114,0.5368523984977875
215203746,12,7,6,0.4166666666666667,0.5,65674.33333333333,10777412376.388891,0.028231611174798787,0.0014115609277565262,0.04965213880240456,6,4,0.0,1.8,0.44444444444444453,0.8333333333333334,22,-1.787711621055542
215236134,12,11,8,0.08333333333333333,0.6666666666666666,99064.41666666667,31334070469.57639,0.046920798174858995,0.001586461509834283,0.0608454920695747,11,18,0.3606060606060606,1.7555555555555555,0.5515151515151515,0.9090909090909091,30,3.0482577720935327
215549015,6,5,4,0.16666666666666666,0.6666666666666666,132599.83333333334,60226071042.138885,0.06885570424270229,0.0006559451100550506,0.06901467414438742,5,5,0.4333333333333333,1.5,0.75,1.0,16,1.305677927450383
215550260,11,6,3,0.45454545454545453,0.2727272727272727,64807.454545454544,6582383770.975208,0.012940741202808033,0.00040544818539215566,0.013155855448259793,5,5,0.3333333333333333,1.6,0.7333333333333333,1.0,38,0.7629634018519105
216232124,6,4,2,0.3333333333333333,0.3333333333333333,146015.0,20467819963.666668,0.07508676499494242,0.001742048332879081,0.07514848049745568,4,3,0.0,1.6666666666666667,0.7222222222222222,1.0,19,-0.9654970035981544
230490476,8,8,5,0.0,0.625,114055.25,29474834240.6875,0.03860799770148097,0.00038027881106219067,0.07369773011463009,7,10,0.6142857142857142,1.5714285714285714,0.7301587301587302,1.0,27,2.9004571965920025
314707407,11,8,6,0.2727272727272727,0.5454545454545454,68745.0,3498593444.7272725,0.015287172271099847,0.00019647751306670012,0.021738301196445244,8,9,0.29166666666666663,2.0714285714285716,0.6011904761904762,1.0,65,0.421363817580201
314778374,2,2,4,0.0,2.0,428666.0,75309080625.0,0.09831633165602505,0.0,0.09831633165602505,2,0,0.0,0.0,0.0,0.5,8,-1.3406828719802135
314830449,9,8,8,0.1111111111111111,0.8888888888888888,83178.0,9839212784.666666,0.07979674875099158,0.0016182604267559813,0.08896702314252553,8,9,0.4791666666666667,2.142857142857143,0.5922619047619048,1.0,29,0.9240112119278232
