measure,feature,n,rho,p,p_FDR,fdr_significant
AUT Broom - Originality,var_step_distance,100,0.2690547067572442,0.00679298540605577,0.4195884940679155,False
AUT Belt - Number of Answers,forward_flow,100,0.2662485427223523,0.007416859750967205,0.4195884940679155,False
AUT Belt - Number of Answers,var_step_distance,100,0.2563493281057708,0.010040382554005639,0.4195884940679155,False
Verbal Fluency - Forward Flow,char_path_length,107,0.24271449181494123,0.011770354475464297,0.4195884940679155,False
AUT Broom - Number of Answers,global_efficiency,107,0.2400902318225787,0.012742358050372072,0.4195884940679155,False
AUT Broom - Number of Answers,char_path_length,107,0.23363884860309453,0.015434753501761371,0.4195884940679155,False
Verbal Fluency - Number of Answers,char_path_length,107,0.23041933012185867,0.016953984222575685,0.4195884940679155,False
AQT Pencil - Number of Answers,n_searches,107,0.22755900677378246,0.018410546974444792,0.4195884940679155,False
AQT Pencil - Number of Answers,var_step_distance,100,0.23353449653283623,0.01936562280313456,0.4195884940679155,False
AQT Pencil - Number of Answers,char_path_length,107,0.21376705305611196,0.0270445572736173,0.4825007086333365,False
AUT Belt - Number of Answers,mean_step_distance,100,0.22087951832915434,0.02721798869213693,0.4825007086333365,False
AUT Belt - Originality,n_unique_pages,107,0.2043885042893984,0.03471002626253355,0.5640379267661702,False
GF - Score,bh_score,107,0.19702276270829788,0.04194502199036305,0.5647462481899974,False
GF - Score,char_path_length,107,0.19529859128441457,0.04380914795663521,0.5647462481899974,False
Verbal Fluency - Number of Answers,global_efficiency,107,0.1916669650872515,0.04796166480497717,0.5647462481899974,False
AUT Belt - Number of Answers,char_path_length,107,0.19025110766785466,0.04966656489774754,0.5647462481899974,False
AQT Pillow - Number of Answers,n_searches,107,0.18563591676357877,0.05557504737787884,0.5647462481899974,False
AUT Broom - Number of Answers,var_step_distance,100,0.18435766739556061,0.06633238567256096,0.5647462481899974,False
Verbal Fluency - Forward Flow,global_efficiency,107,0.17813453946396277,0.06640107639257954,0.5647462481899974,False
AQT Pencil - Number of Answers,path_breadth,107,0.1780696107582133,0.0665017646697004,0.5647462481899974,False
AUT Broom - Originality,search_vs_link_ratio,105,-0.17434533595037113,0.07527708064241358,0.5647462481899974,False
AUT Belt - Originality,path_breadth,107,0.17165224034050186,0.07708167269476203,0.5647462481899974,False
AQT Pencil - Number of Answers,n_unique_pages,107,0.171084607322132,0.07807914689444777,0.5647462481899974,False
AUT Broom - Originality,n_pages,107,0.1709058676825033,0.07839537294291579,0.5647462481899974,False
AQT Pencil - Number of Answers,n_pages,107,0.16940372504964257,0.08109374261959035,0.5647462481899974,False
AQT Pillow - Originality,clustering,106,-0.16925260504237244,0.08284050072710418,0.5647462481899974,False
GF - Score,revisit_rate,105,-0.16934134271824747,0.08417544019297907,0.5647462481899974,False
Verbal Fluency - Forward Flow,clustering,107,0.16759952131049172,0.08443239216219567,0.5647462481899974,False
Verbal Fluency - Number of Answers,clustering,107,0.16692015579767994,0.08571760227176285,0.5647462481899974,False
GF - Score,n_unique_pages,107,0.16631056279708095,0.08688403818307652,0.5647462481899974,False
Curiosity - Score,n_searches,107,-0.1624430049662351,0.09458149076245177,0.5786358183499672,False
Verbal Fluency - Forward Flow,bh_score,107,0.1604684344831648,0.09871398188851296,0.5786358183499672,False
Verbal Fluency - Number of Answers,var_dwell,105,-0.15807641159713873,0.10727675618406117,0.5786358183499672,False
Verbal Fluency - Number of Answers,bh_score,107,0.15461602818218195,0.11180021421239335,0.5786358183499672,False
AUT Belt - Originality,var_dwell,105,-0.1559537568858388,0.11213766250684955,0.5786358183499672,False
AUT Broom - Originality,mean_dwell,105,-0.1542245748861148,0.1162226056186409,0.5786358183499672,False
AUT Belt - Number of Answers,n_searches,107,0.15263945361728934,0.11651238336022605,0.5786358183499672,False
Verbal Fluency - Forward Flow,var_step_distance,100,0.15751174325702919,0.11755919767525627,0.5786358183499672,False
AUT Belt - Number of Answers,global_efficiency,107,0.1510567402392341,0.12039527573834799,0.5786358183499672,False
AQT Pillow - Originality,char_path_length,106,-0.15128256883875948,0.12162096310063372,0.5786358183499672,False
AUT Belt - Originality,n_pages,107,0.1504320120754991,0.1219551275798542,0.5786358183499672,False
AUT Broom - Originality,var_dwell,105,-0.15069182000505668,0.1249253925929007,0.5786358183499672,False
AUT Broom - Number of Answers,forward_flow,100,0.15339010666049768,0.12759661635409536,0.5786358183499672,False
Verbal Fluency - Forward Flow,var_dwell,105,-0.14597480710090172,0.1373154314853398,0.6029440049053159,False
AUT Belt - Number of Answers,n_unique_pages,107,0.14250774432129387,0.14311691268932702,0.6029440049053159,False
AQT Pencil - Originality,path_breadth,107,-0.1420179910836983,0.14451062277248186,0.6029440049053159,False
AUT Broom - Number of Answers,n_unique_pages,107,0.14173347857411378,0.145324965284871,0.6029440049053159,False
AQT Complexity Score,char_path_length,107,-0.13901651641956023,0.15327685054224824,0.6083548893985243,False
AQT Pencil - Originality,search_vs_link_ratio,105,0.13972627782753824,0.1551384973418326,0.6083548893985243,False
AUT Belt - Originality,mean_dwell,105,-0.1394420843551383,0.1559884331791088,0.6083548893985243,False
AQT Pillow - Number of Answers,n_unique_pages,107,0.13615009556708063,0.16201509608482442,0.6092058044478155,False
Curiosity - Score,var_step_distance,100,-0.1382074234245218,0.17028495728153425,0.6092058044478155,False
GF - Score,global_efficiency,107,0.13322192746670788,0.1713188068018649,0.6092058044478155,False
AQT Pencil - Originality,char_path_length,107,-0.1331869024486538,0.17143242918866175,0.6092058044478155,False
AQT Pillow - Number of Answers,var_step_distance,100,0.13771501621326906,0.17182727817758897,0.6092058044478155,False
AQT Pillow - Number of Answers,n_pages,107,0.13040017819797697,0.18065183166967438,0.6156026274736236,False
AQT Pillow - Originality,global_efficiency,106,-0.13073658111669112,0.18161565920708944,0.6156026274736236,False
AQT Pencil - Originality,clustering,107,-0.12844331500268702,0.1873392784064783,0.6156026274736236,False
AQT Pencil - Originality,revisit_rate,105,-0.12922639888979065,0.188899412381567,0.6156026274736236,False
